name_7615#0,"""Dino"""
ssn_014670_0001#0,"""Hey. Have you gotten used to how Central City works?"""
ssn_014670_0002#0,"""This is our favorite spot. Good drink, nice scenery... Yeah, this is the life."""
ssn_014670_0101#0,"""*sigh*... I know what item I want, but it's a real pain to try and get a hold of..."""
ssn_014670_0102#0,"""I sure hope I'll be able to find one in somebody's My Shop..."""
ssn_014670_0103#0,"""Speaking of which, have you visited the My Shop yet?"""
ssn_014670_0104#0,"""It's a really useful service, so why don't I teach you about it?"""
ssn_014670_0201#0,"""My Shop is the virtual marketplace that ARKS use to buy and sell items among each other."""
ssn_014670_0202#0,"""Why don't you go take a peek and see what neat stuff is being sold by your fellow ARKS?"""
ssn_014670_0301#0,"""No worries. Let me know if you change your mind."""
ssn_014670_0401#0,"""Looks like you've arrived."""
ssn_014670_0402#0,"""Well, I leave the rest to you. Who knows, you might find a bargain!"""
ssn_014670_0501#0,"""Have you been to the My Shop lately? You should make a point of visiting it regularly."""
ssn_014670_0502#0,"""The listings update in real time, so who knows when you might stumble upon a great deal!"""
