Title#0,"""機甲種性能調查：採掘場遺跡"""
Explanation#0,"""在莉莉芭行星的採掘場遺跡區域<br>發現了未確認機甲種的存在。<br>ARKS各成員請往採掘場遺跡出擊。<br>這次任務的內容為交戰並擊退該機甲種，並收集<br>資料。<br>另外，資料會在戰鬥中自動進行收集，<br>希望各位能盡量多收集資料。<br>――――――――――――――――――――<br>得到【200】任務點數就算成功<br>主要在擊破機甲種時可獲得追加點數"""
Title#1,"""機甲種性能調査：採掘場跡"""
Explanation#1,"""惑星リリーパの採掘場跡エリアにて<br>未確認の機甲種が確認された。<br>アークス各員は採掘場跡へと出撃。<br>該当の機甲種と交戦、撃退し、データを<br>収集することが今回の任務となる。<br>なおデータ収集は戦闘と並行して行われる、<br>より多くのデータ収集を期待する。<br>――――――――――――――――――――<br>クエストポイント【200】達成でクリア<br>主に機甲種の撃破でポイント獲得"""
SimpleExplanation#0,"""擊退機甲種<br>獲得任務點數！"""
SimpleExplanation#1,"""機甲種を撃退し<br>クエストポイントをためろ！"""
a1#0,"""這是一個測試。"""
a2#0,"""這是一個測試。"""
a3#0,"""持有超級困難模式受理許可證"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
