11_voice_NPC_5010_104#0,"""ข้าอยากเป็นนักวิจัยที่เก่งกาจเหมือน Aki เร็วๆ จัง"""
11_voice_NPC_5010_104#1,"""はぁ……僕も早く<br>先生みたいな立派な研究者に<br>なりたいなぁ……なんて。"""
11_voice_NPC_5010_100#0,"""Aki เป็นทั้ง ARKS และนักวิจัยในเวลาเดียวกัน<br>ทั้งสวยและฉลาด เป็นคนในอุดมคติของข้าเลยล่ะ<br>...เพียงแต่นิสัยอาจจะรับมือยากไปนิดหน่อย"""
11_voice_NPC_5010_100#1,"""先生はアークスでありつつ、研究者。<br>まさしく才色兼備、理想の人です。<br>……性格的には、問題児ですけど。"""
11_voice_NPC_5010_100#2,"""ทำไมข้าถึงมาทำงานกับ Aki งั้นเหรอ?<br>ก็เพราะข้าอยากเป็นให้ได้อย่าง Aki น่ะสิ"""
Right_03_020#0,"""ที่ข้าคอยติดตาม Aki เพราะ<br>ซักวันข้าจะเป็นให้ได้อย่าง Aki<br>ยกเว้นเรื่องนิสัยน่ะนะ"""
11_voice_NPC_5010_100#3,"""どうして先生にくっついてるのか？<br>そりゃあもちろん、憧れだからです。"""
Right_03_020#1,"""いつかは僕も、先生のようになりたい<br>そう思って一緒に居るんですよ。<br>……性格以外。"""
11_voice_NPC_5010_101#0,"""อาจารย์ข้าชอบหางานที่ทำให้ข้าเกือบตายจริงๆ<br>มาหลายครั้งแล้วเหมือนกัน"""
Right_04_020#0,"""แต่ตั้งแต่ที่เจอคุณแล้วคุณบอกว่ายินดีจะช่วยผม <br>ชีวิตผมก็ดีขึ้นมากเลย<br>ต้องขอขอบคุณจริงๆนะครับ !"""
11_voice_NPC_5010_101#1,"""先生には、今まで何度も無理難題を<br>押しつけられてきました。<br>死にそうな目に何度も遭いました……"""
Right_04_020#1,"""ですが、あなたが手伝ってくれるように<br>なってからというもの、平穏な毎日。<br>本当にありがとうございます！"""
11_voice_NPC_5010_104#2,"""เนื้อหาเกี่ยวกับเรื่องที่อาจารย์กำลังวิจัยอยู่เหรอครับ?<br>มันก็อธิบายยากนะครับ เพราะสิ่งที่เค้าทำ <br>รายละเอียดมันเยอะมากพอๆกับดาวบนฟ้าเลยล่ะ"""
Right_05_020#0,"""อาจารย์เค้ายังศึกษาเกี่ยวกับการแพทย์แถมรู้ลึก<br>มากอีกด้วยนะ เรื่องความจำนี่ต้องยกให้เค้าเลยล่ะ<br>เฮ่อ... ทำไมถึงเก่งไปหมดแบบนี้นะ"""
11_voice_NPC_5010_104#3,"""先生の研究内容、ですか？<br>多岐に渡るので説明しにくいですけど<br>総じて、生きてるものの研究、ですね。"""
Right_05_020#1,"""医学にも造詣が深いですよ。<br>執念にも似た感じすら覚えます。<br>はぁ……すごいですよねぇ。"""
11_voice_NPC_5010_100#4,"""ท่าน <%me><br>ขอบคุณนะครับ<br>ที่ช่วยผลักดันหลังให้ผม"""
Right_06_020#0,"""ผมน่ะ อยากจะอยู่เคียงข้างท่านอาจารย์<br>ท้ายที่สุดแล้ว มันก็เป็นเพียงแค่นั้นครับ"""
Right_06_030#0,"""ทั้งๆ ที่มีชื่อเป็นถึงผู้ช่วยของท่านอาจารย์<br>จอมมุทะลุแท้ๆ น่าสมเพชจริงๆ เลยนะครับ<br>หากทำเลยหลังจากตัดสินใจได้ ก็ดีไปแล้วแท้ๆ"""
11_voice_NPC_5010_100#5,"""<%me>さん。<br>ありがとうございました。<br>僕の背中を押してくれて。"""
Right_06_020#1,"""僕は先生の隣にいたかった。<br>ようするに、それだけなんです。"""
Right_06_030#1,"""猪突猛進な先生の助手を<br>名乗ってるのに、情けないですよ。<br>決めたら動く、それでよかったのに。"""
11_voice_NPC_10_105#0,"""Dark Falz คืนชีพขึ้นมากแล้ว<br>มีอะไรแปลกๆตามออกมาด้วย...<br>จากนี้จะเกิดอะไรขึ้นอีกก็ไม่รู้นะครับเนี่ย..."""
11_voice_NPC_10_105#1,"""ダークファルスは復活しちゃうし<br>ヘンなのは出てくるし……<br>どうなっちゃってるんでしょう……"""
11_voice_NPC_10_105#2,"""Dark Falz คืนชีพขึ้นมากแล้ว<br>มีอะไรแปลกๆตามออกมาด้วย...<br>จากนี้จะเกิดอะไรขึ้นอีกก็ไม่รู้นะครับเนี่ย..."""
11_voice_NPC_10_105#3,"""ダークファルスは復活しちゃうし<br>ヘンなのは出てくるし……<br>どうなっちゃってるんでしょう……"""
11_voice_NPC_10_104#0,"""มันใช่เวลาจัดงานประลองฝีมือเหรอครับเนี่ย<br>Dark Falz มันคืนชีพขึ้นมาแล้วนะ<br>ใจเย็นกันเหลือเกินนะทุกคนเนี่ย..."""
Right_mb11_020#0,"""...เอ้อแต่ ถึงผมจะตื่นเต้นไปก็คง<br>ไม่มีปัญญาไปทำอะไรได้อ่ะนะครับ..."""
11_voice_NPC_10_104#1,"""戦技大会、やってる場合でしょうか。<br>ダークファルスが復活しちゃったのに<br>そんな悠長なこと……"""
Right_mb11_020#1,"""……ま、まあ僕が慌てても<br>仕方がないんですけども……"""
11_voice_NPC_5010_104#4,"""...เฮ้อ<br>อ๊ะ เปล่า ไม่มีอะไรครับ<br>ไม่มีอะไรจริงๆครับ"""
11_voice_NPC_5010_104#5,"""……はぁ。<br>あ、なんでもないです。<br>なんでもないですよ。"""
11_voice_NPC_5010_104#6,"""ผมทำอะไรของผมอยู่...งั้นเหรอครับ?<br>เอ่อ...จะว่าไปแล้ว..."""
Right_mb13_020#0,"""...นั่นสิครับ จริงอย่างที่คุณพูด<br>ผมเองก็ไม่รู้ว่ากำลังทำอะไรอยู่เหมือนกัน"""
11_voice_NPC_5010_104#7,"""何をしてるのか……ですか？<br>ええと、その……"""
Right_mb13_020#1,"""……本当、貴方の言うとおりです。<br>僕は、何をしてるんでしょうね。"""
11_voice_NPC_5010_104#8,"""ผมทำอะไรของผมอยู่...งั้นเหรอครับ?<br>เอ่อ...จะว่าไปแล้ว..."""
Right_mb14_020#0,"""...นั่นสิครับ จริงอย่างที่คุณพูด<br>ผมเองก็ไม่รู้ว่ากำลังทำอะไรอยู่เหมือนกัน"""
11_voice_NPC_5010_104#9,"""何をしてるのか……ですか？<br>ええと、その……"""
Right_mb14_020#1,"""……本当、貴方の言うとおりです。<br>僕は、何をしてるんでしょうね。"""
11_voice_NPC_5010_104#10,"""ผมกำลังทำอะไรอยู่...... อย่างนั้นเหรอครับ?<br>เอ่อ ก็คือว่า......"""
Right_mb15_020#0,"""......ถูกอย่างที่ท่านพูดครับ<br>ผมน่ะ กำลังทำอะไรอยู่กันแน่"""
11_voice_NPC_5010_104#11,"""何をしてるのか……ですか？<br>ええと、その……"""
Right_mb15_020#1,"""……本当、貴方の言うとおりです。<br>僕は、何をしてるんでしょうね。"""
11_voice_NPC_5010_104#12,"""ผมน่ะ อยากจะอยู่เคียงข้างท่านอาจารย์<br>ท้ายที่สุดแล้ว มันก็เป็นเพียงแค่นั้นครับ"""
Right_mb16_020#0,"""ก่อนอื่น ก็ต้องตั้งสมมติฐานหลักล่วงหน้า<br>ต่อจากนั้นจะทำอะไรต่อไป......<br>เอาเถอะ ผมจะค่อยคิดมันหลังจากนี้ครับ"""
11_voice_NPC_5010_104#13,"""僕は先生の隣にいたかった。<br>ようするに、それだけなんです。"""
Right_mb16_020#1,"""まず、それが大前提にあって<br>そこから何をするかは……<br>まあ、これから考えます。"""
11_voice_NPC_5010_104#14,"""อย่างนั้นเหรอครับ ท่านประธานเค้า......<br>ไม่สิ ผมไม่ได้เกี่ยวข้องอะไรกับ<br>Organization Void อีกแล้วครับ"""
