name01#0,"""艾塔妮"""
11_voice_shop_412#0,"""已經達到可以取得卡片的條件了。<br>這是新的卡片。"""
text02#0,"""老手ARKS<br>強恩先生教導你<br>各式各樣的功能。"""
text03#0,"""第一個目標是，委託任務<br><c bb0000>「必看！道具管理法！」<c><br>請達成這件事。"""
text04#0,"""不過如果已達成目標<br>就能繼續蓋上印章。<br>請多指教。"""
text05#0,"""那麼，請加油。"""
name01#1,"""アスタルテ"""
11_voice_shop_412#1,"""カードの取得条件を満たしていますね。<br>では、こちらが新しいカードです。"""
text02#1,"""ベテランのアークスである<br>ジャンさんから、様々な機能を<br>教えてもらう、といった内容です。"""
text03#1,"""最初の目標は、クライアントオーダー<br><c bb0000>「必見！アイテム管理法！」<c>を<br>受注し、達成することです。"""
text04#1,"""なお、すでに目標達成済みでしたら<br>引き続いてスタンプを押させて<br>もらいます。よろしくお願いします。"""
text05#1,"""それでは、頑張って下さい。"""
