name_7303#0,"""ノアン"""
ssn_019450_005_0010#0,"""お、お疲れ様です！"""
ssn_019450_005_0020#0,"""引き続き調査をお願いします、なのです！"""
ssn_019450_005_0110#0,"""お、お疲れ様です！<br>来てくれて、ありがとうございます！"""
ssn_019450_005_0120#0,"""今回調査してほしい生き物は“ユキフワ”。<br>白くてフワフワした、ちょっと変わった生物なのです！"""
ssn_019450_005_0130#0,"""あの子たちの生態は謎に包まれていて、<br>もっと調べてみたいのです！"""
ssn_019450_005_0140#0,"""調査自体は、難しいことはなくて。<br>普段の様子を観察してほしいのです。"""
ssn_019450_005_0150#0,"""本当は、わたしが行って<br>この目で見たいところなのですが……。"""
ssn_019450_005_0160#0,"""実は、調査をしたい子たちがラトヴァ山の上にいまして。<br>わたし、高所恐怖症で、そこまで登れないのです……。えへへ。"""
ssn_019450_005_0170#0,"""と、ともかくですね！<br>よろしくお願いします、なのです！"""
ssn_019450_005_0210#0,"""ありがとうございました！<br>とっても助かったのです！"""
ssn_019450_005_0220#0,"""また機会があれば、お手伝いよろしくなのです！"""
