11_voice_NPC_5057_101#0,"""อ้าว มาพอดีเลย<br>มานี่สิ มีของจะให้นะ"""
Npc57_favs_before_020#0,"""อ่ะนี่ของขวัญ<br>แต่ที่จริงก็แค่ของเหลือใช้น่ะ"""
Npc57_favs_after_010#0,"""ไม่ต้องขอบใจหรอก<br>บอกแล้วว่าเป็นแค่ของเหลือใช้"""
Npc57_favs_after_020#0,"""แต่ถ้ามันสามารถมีประโยชน์กับเธอได้ <br>ชั้นก็ดีใจนะ รับไว้เถอะ"""
11_voice_NPC_5057_101#1,"""あら、よく来たわね。<br>丁度良いわ、これを持っていきなさい。"""
Npc57_favs_before_020#1,"""私からのプレゼント。<br>といっても、余り物だけどね。"""
Npc57_favs_after_010#1,"""礼は不要よ。<br>言った通り余り物だしね。"""
Npc57_favs_after_020#1,"""ま、日頃頑張っていることに対して<br>ご褒美とでも思っておきなさい。"""
Npc57_favs_present_010#0,"""Barbara มอบ [Element Synthesizer] ให้กับท่าน"""
Npc57_favs_present_020#0,"""Barbara มอบ [Barta] ให้กับท่าน"""
Npc57_favs_present_030#0,"""Barbara มอบ [Heal] ให้กับท่าน"""
Npc57_favs_present_040#0,"""Barbara มอบ [Element Synthesizer] ให้กับท่าน"""
Npc57_favs_present_050#0,"""Barbara มอบ [Rabarta] ให้กับท่าน"""
Npc57_favs_present_060#0,"""Barbara มอบ [Purify] ให้กับท่าน"""
Npc57_favs_present_070#0,"""Barbara มอบ [Element Synthesizer] ให้กับท่าน"""
Npc57_favs_present_080#0,"""Barbara มอบ [Shield] ให้กับท่าน"""
Npc57_favs_present_090#0,"""Barbara มอบ [Sabarta] ให้กับท่าน"""
Npc57_favs_present_100#0,"""Barbara มอบ [Element Synthesizer] ให้กับท่าน"""
Npc57_favs_present_010#1,"""バルバラから『シンセサイザー』を受け取りました。"""
Npc57_favs_present_020#1,"""バルバラから『バータ』を受け取りました。"""
Npc57_favs_present_030#1,"""バルバラから『レスタ』を受け取りました。"""
Npc57_favs_present_040#1,"""バルバラから『シンセサイザー』を受け取りました。"""
Npc57_favs_present_050#1,"""バルバラから『ラ・バータ』を受け取りました。"""
Npc57_favs_present_060#1,"""バルバラから『アンティ』を受け取りました。"""
Npc57_favs_present_070#1,"""バルバラから『シンセサイザー』を受け取りました。"""
Npc57_favs_present_080#1,"""バルバラから『デバンド』を受け取りました。"""
Npc57_favs_present_090#1,"""バルバラから『サ・バータ』を受け取りました。"""
Npc57_favs_present_100#1,"""バルバラから『シンセサイザー』を受け取りました。"""
11_voice_NPC_5057_100#0,"""ถ้ามีข้อสงสัยเกี่ยวกับ Fighter Gunner Techter ล่ะก็<br>มาหาชั้นได้เลยนะ เดี๋ยวจะช่วยตอบให้เอง"""
11_voice_NPC_5057_100#1,"""ファイター、ガンナー、テクターの<br>指導であれば、私に任せなさい。<br>みっちり教えてあげるから。"""
11_voice_NPC_5057_100#2,"""ถ้ามีข้อสงสัยเกี่ยวกับ Fighter Gunner Techter ล่ะก็<br>มาหาชั้นได้เลยนะ เดี๋ยวจะช่วยตอบให้เอง"""
11_voice_NPC_5057_100#3,"""ファイター、ガンナー、テクターの<br>指導であれば、私に任せなさい。<br>みっちり教えてあげるから。"""
11_voice_NPC_5057_100#4,"""ถ้ามีข้อสงสัยเกี่ยวกับ Fighter Gunner Techter ล่ะก็<br>มาหาชั้นได้เลยนะ เดี๋ยวจะช่วยตอบให้เอง"""
11_voice_NPC_5057_100#5,"""ファイター、ガンナー、テクターの<br>指導であれば、私に任せなさい。<br>みっちり教えてあげるから。"""
11_voice_NPC_5057_100#6,"""ถ้ามีข้อสงสัยเกี่ยวกับ Fighter Gunner Techter ล่ะก็<br>มาหาชั้นได้เลยนะ เดี๋ยวจะช่วยตอบให้เอง"""
11_voice_NPC_5057_100#7,"""ファイター、ガンナー、テクターの<br>指導であれば、私に任せなさい。<br>みっちり教えてあげるから。"""
11_voice_NPC_5057_100#8,"""ถ้ามีข้อสงสัยเกี่ยวกับ Fighter Gunner Techter ล่ะก็<br>มาหาชั้นได้เลยนะ เดี๋ยวจะช่วยตอบให้เอง"""
11_voice_NPC_5057_100#9,"""ファイター、ガンナー、テクターの<br>指導であれば、私に任せなさい。<br>みっちり教えてあげるから。"""
11_voice_NPC_5057_104#0,"""เป็นเรื่องดีนะ ที่เดี๋ยวนี้มี ARKS เพิ่มขึ้น<br>ตามจำนวน Class ใหม่ที่ปลดล็อกออกมา"""
Npc57_06_020#0,"""แต่ ถ้าคิดอีกแง่นึง จำนวน Darker เองก็ต้อง<br>เพิ่มขึ้นเพื่อให้สามารถต้านทาน ARKS ได้น่ะนะ"""
11_voice_NPC_5057_104#1,"""かつてのクラスを解放するほどに<br>アークスの数が増えてきたのは<br>いいことだと思うわ。"""
Npc57_06_020#1,"""でも、翻って考えれば、それだけの<br>アークスが必要なほど、ダーカーが<br>増えてきているってことよ。"""
11_voice_NPC_5057_104#2,"""เป็นเรื่องดีนะ ที่เดี๋ยวนี้มี ARKS เพิ่มขึ้น<br>ตามจำนวน Class ใหม่ที่ปลดล็อกออกมา"""
Npc57_07_020#0,"""แต่ ถ้าคิดอีกแง่นึง จำนวน Darker เองก็ต้อง<br>เพิ่มขึ้นเพื่อให้สามารถต้านทาน ARKS ได้น่ะนะ"""
11_voice_NPC_5057_104#3,"""かつてのクラスを解放するほどに<br>アークスの数が増えてきたのは<br>いいことだと思うわ。"""
Npc57_07_020#1,"""でも、翻って考えれば、それだけの<br>アークスが必要なほど、ダーカーが<br>増えてきているってことよ。"""
11_voice_NPC_5057_104#4,"""เป็นเรื่องดีนะ ที่เดี๋ยวนี้มี ARKS เพิ่มขึ้น<br>ตามจำนวน Class ใหม่ที่ปลดล็อกออกมา"""
Npc57_08_020#0,"""แต่ ถ้าคิดอีกแง่นึง จำนวน Darker เองก็ต้อง<br>เพิ่มขึ้นเพื่อให้สามารถต้านทาน ARKS ได้น่ะนะ"""
11_voice_NPC_5057_104#5,"""かつてのクラスを解放するほどに<br>アークスの数が増えてきたのは<br>いいことだと思うわ。"""
Npc57_08_020#1,"""でも、翻って考えれば、それだけの<br>アークスが必要なほど、ダーカーが<br>増えてきているってことよ。"""
Alice_01_10#0,"""คิดยังไงกับการต่อสู้กับสิ่งมีชีวิตอื่น<br>ที่นอกเหนือจาก D-arkers สินะ<br>เรื่องนั้น ชั้นเองก็เคยคิดอยู่เหมือนกัน"""
Alice_01_20#0,"""แต่สำหรับชั้นแล้ว <br>ชั้นคิดว่าควรจะตัดสินใจให้ชัดเจนยังไง <br>มากกว่าที่จะคิดยังไงน่ะนะ"""
Alice_01_30#0,"""ก็อย่างที่รู้ แม้จะใช้พลังที่นอกเหนือจาก Photon <br>จัดการกับ D-arkers ไป แต่ซากที่เหลืออยู่ก็จะ<br>ทำให้สิ่งมีชีวิตรอบๆ ข้างบ้าคลั่งต่อ"""
