choice01#0,"""『ラスター』について"""
choice02#0,"""『ラスターガンスラッシュ』について"""
choice03#0,"""『スタイル』について"""
choice04#0,"""『ラスターのスキル』について"""
choice05#0,"""『スマートＰＡ』について"""
choice06#0,"""『武器切り替えＰＡ』について"""
choice_end#0,"""この場を離れる"""
Title#0,"""『ラスター』について"""
text0001#0,"""ラスターは<br>高速戦闘を得意とする後継クラスです。<br><br>装備可能な武器は<br>「ガンスラッシュ」のみですが<br>装備した武器の属性によって<br>戦い方が異なる3種のスタイルへ変化します。<br><br><yellow>「ザンディスタイル」 ※風・雷属性武器を装備<c><br>速度重視のスタイル。回避や範囲殲滅を得意とする。<br><yellow>「フォメルスタイル」 ※炎・闇属性武器を装備<c><br>攻撃重視のスタイル。頑強を備えた近接戦闘を得意とする。<br><yellow>「バーランスタイル」 ※氷・光属性武器を装備<c><br>防御重視のスタイル。ガードや遠距離攻撃を得意とする。"""
text0002#0,"""ラスターは今までのクラスとは<br>異なる点があります。<br><br>・サブクラスを設定できない<br>（クエストの受注条件にサブクラスの<br>\u3000レベル制限がある場合はメインクラスの<br>\u3000レベルを参照します）<br><br>・一部の潜在能力、スキルリングの効果が無効<br>（例：戦技昂魂、Ｒ／アタックアドバンス等）<br><br>・専用のレベル上限解放オーダーが発生<br>・サポートパートナーは<br>\u3000ラスターにクラス変更できません"""
Title#1,"""『ラスターガンスラッシュ』について"""
text0001#1,"""ラスターが装備したガンスラッシュ<br>「ラスターガンスラッシュ」<br>について説明します。<br><br>ラスターガンスラッシュは<br>銃と剣を自在に使い分けることで<br>距離を問わず高速な戦闘を可能にします。<br><br>アクションを変化させるスキルが多く存在し<br>自身の戦闘スタイルに適したスキルを<br>習得することで戦闘の幅を<br>広げることができます。"""
text0002#1,"""ラスターのガンスラッシュは<br>通常攻撃で剣による素早い攻撃を行います。<br><br><yellow>武器アクション「イベイドシュート」<c>は<br>入力方向に移動しながら射撃を行います。<br>発動直後に無敵時間が存在します。<br><br>使用するＰＡは剣を使用した近距離ＰＡと<br>銃を使用した中遠距離ＰＡに分かれます。<br>エネミーとの距離や戦況に応じて<br>自在に使い分けることで真価を発揮します。"""
text0003#0,"""ラスターはクラススキル<br>「ラスターガンスラッシュギア」を<br>初期状態で習得しています。<br><br><yellow>いずれかの攻撃ボタンを長押しすると<br>ギアゲージを消費し、攻撃アクションが強化<c>されます。<br><br>ギアゲージは時間経過もしくは<br>エネミーを攻撃することで増加します。<br><br>①「エンハンスアタック」<br><yellow>・通常攻撃ボタンを長押し<c><br>スタイルに応じて異なる効果を持つ攻撃を発動します。<br><c ff4f3f>※ギアを消費せず発動した場合、威力が減少します。<c>"""
text0004#0,"""②「エンハンスシュート」<br><yellow>・武器アクションボタンを長押し<c><br>長押しの時間に応じてギアを消費し<br>スタイルに応じた強力な攻撃を発動します。<br><c ff4f3f>※ギアが１つ以上たまっていない<br>   状態では発動しません。<c><br><br>③「エンハンスアーツ」<br><yellow>・ＰＡボタンを長押し<c><br>ギアを１つ消費してＰＡ毎に異なる追加攻撃を発動します。<br><c ff4f3f>※ギアを消費せず発動した場合、威力が減少します。<c>"""
text0005#0,"""ラスターガンスラッシュのＰＡは移動入力の<br>有無で性能の異なるアクションが発動します。<br><br>「ムーブアーツ」<br><yellow>・移動入力を行いながらＰＡを使用<c><br>移動性能を持つアクションが発動します。<br><br>「ステイアーツ」<br><yellow>・移動入力を行わずＰＡを使用<c><br>移動せずその場に留まるアクションが発動します。<br><c ff4f3f>※クラススキル「ステイアーツ」未習得の場合<br>   入力を問わずムーブアーツが発動します。<c>"""
Title#2,"""『スタイル』について"""
text0001#2,"""ラスターは装備したガンスラッシュの<br>武器属性によってスタイルが変化します。<br><br><yellow>「ザンディスタイル」<c><br>雷・風属性のガンスラッシュを装備<br><br><yellow>「フォメルスタイル」<c><br>炎・闇属性のガンスラッシュを装備<br><br><yellow>「バーランスタイル」<c><br>氷・光属性のガンスラッシュを装備"""
text0002#2,"""ザンディスタイルは<br>速度重視のスタイルで<br><c 00ffff>ムーブアーツの攻撃速度が上昇<c>します。<br>クラススキルを習得することで<br>ムーブアーツや回避成功に<br>ボーナスを得られるようになります。<br><br>「ザンディアタックエンハンス」<br><yellow>・通常攻撃ボタンを長押し<c><br>スタン効果、吸い寄せ効果を持つ領域を発生させます。<br><br><c ff4f3f>※ギアがたまっていない状態で<br>   発動した場合、領域は発生しません。<c>"""
text0003#1,"""「ザンディシュートエンハンス」<br><yellow>・武器アクションボタンを長押し<c><br>長押しの時間に応じてギアを消費し<br>展開した領域内のエネミーすべてに<br>雷を落とします。<br><br><c ff4f3f>※ギアが１つ以上たまっていない<br>   状態では発動しません。<c>"""
text0004#1,"""フォメルスタイルは<br>攻撃重視のスタイルで<br>頑強を備えた近接戦闘を得意とします。<br>クラススキルを習得することで<br>エンハンスアーツや最適タイミングでの<br>ＪＡにボーナスを得られるようになります。<br><br>「フォメルアタックエンハンス」<br><yellow>・通常攻撃ボタンを長押し<c><br>ジェルン効果とＰＰ回復に優れた槍を３つストックします。<br>槍はPA使用時、自動的に発射されます。<br><br><c ff4f3f>※ギアがたまっていない状態で<br>   発動した場合、槍は生成されません。<c>"""
text0005#1,"""「フォメルシュートエンハンス」<br><yellow>・武器アクションボタンを長押し<c><br>ギアを消費して連続突きを発動し<br>長押しで消費したギアに応じて<br>強力なフィニッシュ攻撃を行います。<br><br><c ff4f3f>※ギアが１つ以上たまっていない<br>   状態では発動しません。<c>"""
text0006#0,"""バーランスタイルは防御重視のスタイルで<br><c 00ffff>ステイアーツの攻撃範囲と<br>ガードポイントが強化<c>されます。<br>クラススキルを習得することで<br>ステイアーツやガード成功に<br>ボーナスを得られるようになります。<br><br>「バーランアタックエンハンス」<br><yellow>・通常攻撃ボタンを長押し<c><br>バインド効果を持ち、広範囲に継続して<br>攻撃を行うビットを展開します。<br><br><c ff4f3f>※ギアがたまっていない状態で<br>   発動した場合、ビットは展開されません。<c>"""
text0007#0,"""「バーランシュートエンハンス」<br><yellow>・武器アクションボタンを長押し<c><br>ギアを消費してチャージを行い<br>消費したギアに応じた<br>強力な遠距離狙撃を行います。<br><br><c ff4f3f>※ギアが１つ以上たまっていない<br>   状態では発動しません。<c>"""
text0008#0,"""「スタイルパージ」<br><yellow>・武器アクションボタンを素早く２回押し<c><br>PP回復とギア増加に優れる<br>属性爆発攻撃を行います。<br>使用後、一定時間スタイル効果が消失します。<br><br>「ノーマルシュートエンハンス」<br><yellow>・スタイルパージ効果中もしくは<br> 無属性のガンスラッシュ装備時<br> 武器アクションボタンを長押し<c><br>ギア、ＰＰの順に高速で消費し<br>銃による連射攻撃を行います。"""
Title#3,"""『ラスターのスキル』について"""
