un_065010_0010#0,"""おやおや。<br>こんなところで奇遇ですねえ。"""
un_065010_0020#0,"""リサはですねえ、ジグさんに<br>この子を紹介していたんですよお。"""
un_065010_0030#0,"""長銃型創世器、星銃ハリエット……<br>なるほどのう、なるほどのう。"""
un_065010_0040#0,"""して、これの器となった<br>ハリエット嬢はいずこに？"""
un_065010_0050#0,"""私ならば、こちらにおります。"""
un_065010_0060#0,"""おお、その身のフォトンをそのまま<br>創世器の形にしておるのか。<br>アウロラと同じ、特殊なタイプじゃのう。"""
un_065010_0070#0,"""他の創世器には人格がないの？"""
un_065010_0080#0,"""他の創世器は違うの？"""
un_065010_0090#0,"""うむ、基本的にはそのはずじゃ。"""
un_065010_0100#0,"""うむ、他の創世器は<br>端的に言えば、喋ることはないはずじゃ。"""
un_065010_0110#0,"""創世器は持ち手を選り好みするが<br>直接話しかけてくる、というのは<br>あまり聞いたことがないのう。"""
un_065010_0120#0,"""『創世』や『明錫クラリッサⅢ』などは<br>もとより人を礎にした創世器ではないしな。"""
un_065010_0130#0,"""しかし、アウロラとこのハリエット嬢は<br>それらともまったく異なるものじゃ。<br>二人とも、意志を持つ人じゃからなあ。"""
un_065010_0140#0,"""おそらくは、その魂がフォトンと結びつき<br>意識的に形を変化させておるのじゃろう。<br>そして装者とリンクして、力を発揮する、と。"""
un_065010_0150#0,"""かつての創世器も、人の魂があり<br>それがシオンと結びついていたからこそ<br>圧倒的な出力を見せていた。"""
un_065010_0160#0,"""逆に言えば、その魂が尽きた時が<br>創世器としての寿命になるのじゃろう。"""
un_065010_0170#0,"""『世果』もそうじゃった。<br>形こそ修繕できたが、力は戻らなかった。<br>……その魂が失われたからじゃろうな。"""
un_065010_0180#0,"""……おそらく『世果』の魂は<br>自らの役目を果たしたのだと思います。<br>やり遂げたから、満足して消えていった。"""
un_065010_0190#0,"""きっと、本望だったと思いますよ。"""
un_065010_0200#0,"""……そうじゃな。"""
un_065010_0210#0,"""まあそうなると、わしとしては<br>定期的に破損、修繕を繰り返しておる<br>ラビュリスが不憫でならんよ。"""
un_065010_0220#0,"""誰か代わってくれとでも言っとるかもなあ。<br>あちらの魂に気持ちを聞いてみたいものじゃよ。"""
