a1#0,"""特定のクライアントオーダーのクリア"""
a2#0,"""特定のクライアントオーダーのクリア"""
a3#0,"""スーパーハード受注許可証の所持"""
a4#0,"""スーパーハード受注許可証の所持"""
a5#0,"""スーパーハード受注許可証の所持"""
Title#0,"""決戦：最終標的"""
Explanation#0,"""敵大型戦艦を舞台に<br>最終標的と定めた強大なエネミーと<br>対決し、撃破することが目的です。<br>全力を出し切り、制限時間内での<br>撃破を目指してください。<br>――――――――――――――――――――<br>成功条件／Ｅトライアルのクリア<br>失敗条件／ライフポイントが０になる"""
SimpleExplanation#0,"""最終標的を撃破せよ！"""
NpcComMsg1#0,"""ここまで、お疲れさまでした。<br>いよいよ今回の最終決戦となりますが<br>ＶＲだからって、馬鹿にできませんよ。"""
NpcComMsg2#0,"""シャオさんの演算結果をもとに<br>わたしとカリンお姉ちゃんで実装した<br>すっごい強敵です。楽しみですね。"""
NpcComMsg3#0,"""制限時間と残りライフポイントには<br>くれぐれも、気をつけてくださいね。<br>それでは、ファイトです。"""
Area0S#0,"""敵大型戦艦・甲板"""
Area0L#0,"""敵大型戦艦・甲板"""
