GREET_RANGE#0,"""สวัสดีค่า"""
GREET_SHOP_OPEN#0,"""ต้องขอโทษด้วยนะคะ<br>ที่เรามาตั้งร้านเค้กอยู่แถวนี้"""
GREET_SHOP_DISABLE#0,"""ต้องขอโทษด้วยนะค้า<br>วันนี้ทุกชิ้นโดนเหมาจองไปหมดแล้วล่ะค่า"""
GREET_SHOP_CLOSE#0,"""ขอบคุณที่มาอุดหนุนนะค้า"""
GREET_RANGE#1,"""こんにちはー。"""
GREET_SHOP_OPEN#1,"""こんなところに<br>ケーキ屋があってごめんなさい。"""
GREET_SHOP_DISABLE#1,"""ごめんなさいー。<br>今日は貸し切りなんですー。"""
GREET_SHOP_CLOSE#1,"""ありがとうございましたー。"""
00_01#0,"""ตัวเลือก 1"""
00_02#0,"""ตัวเลือก 2"""
TALK_ST#0,"""ทำการสนทนา"""
C_ORDER_ST#0,"""ฟังคำปรึกษา"""
00_01#1,"""選択肢その１"""
00_02#1,"""選択肢その２"""
TALK_ST#1,"""会話する"""
C_ORDER_ST#1,"""相談を聞く"""
