11_voice_NPC_5053_100#0,"""การกลายพันธุ์ ช่างเป็นคำที่งดงามเหลือเกิน<br>ความหายาก ก็ช่างเป็นคำที่ยอดเยี่ยมอะไรอย่างนี้<br>เธอคิดเหมือนชั้นมั้ย?"""
11_voice_NPC_5053_100#1,"""突然変異、という言葉は美しい。<br>希少、という言葉も素晴らしい。<br>そうは思わないかな？"""
11_voice_NPC_5053_100#2,"""การกลายพันธุ์ ช่างเป็นคำที่งดงามเหลือเกิน<br>ความหายาก ก็ช่างเป็นคำที่ยอดเยี่ยมอะไรอย่างนี้<br>เธอคิดเหมือนชั้นมั้ย?"""
11_voice_NPC_5053_100#3,"""突然変異、という言葉は美しい。<br>希少、という言葉も素晴らしい。<br>そうは思わないかな？"""
11_voice_NPC_5053_100#4,"""การกลายพันธุ์ ช่างเป็นคำที่งดงามเหลือเกิน<br>ความหายาก ก็ช่างเป็นคำที่ยอดเยี่ยมอะไรอย่างนี้<br>เธอคิดเหมือนชั้นมั้ย?"""
11_voice_NPC_5053_100#5,"""突然変異、という言葉は美しい。<br>希少、という言葉も素晴らしい。<br>そうは思わないかな？"""
11_voice_NPC_5053_100#6,"""การกลายพันธุ์ ช่างเป็นคำที่งดงามเหลือเกิน<br>ความหายาก ก็ช่างเป็นคำที่ยอดเยี่ยมอะไรอย่างนี้<br>เธอคิดเหมือนชั้นมั้ย?"""
11_voice_NPC_5053_100#7,"""突然変異、という言葉は美しい。<br>希少、という言葉も素晴らしい。<br>そうは思わないかな？"""
11_voice_NPC_5053_100#8,"""การกลายพันธุ์ ช่างเป็นคำที่งดงามเหลือเกิน<br>ความหายาก ก็ช่างเป็นคำที่ยอดเยี่ยมอะไรอย่างนี้<br>เธอคิดเหมือนชั้นมั้ย?"""
11_voice_NPC_5053_100#9,"""突然変異、という言葉は美しい。<br>希少、という言葉も素晴らしい。<br>そうは思わないかな？"""
11_voice_NPC_5053_100#10,"""การกลายพันธุ์ ช่างเป็นคำที่งดงามเหลือเกิน<br>ความหายาก ก็ช่างเป็นคำที่ยอดเยี่ยมอะไรอย่างนี้<br>เธอคิดเหมือนชั้นมั้ย?"""
11_voice_NPC_5053_100#11,"""突然変異、という言葉は美しい。<br>希少、という言葉も素晴らしい。<br>そうは思わないかな？"""
11_voice_NPC_5053_101#0,"""ทำไมพวกพันธุ์หายากถึงได้เกิดมาบนโลกนี้รู้รึเปล่า<br>คำตอบแรกที่ขึ้นมาในสมองชั้นก็คือ พวกมันเกิดมาเพื่อ<br>เปลี่ยนแปลงระบบนิเวศน์ยังไงล่ะ คิดเหมือนชั้นรึเปล่า?"""
Npc53_07_020#0,"""แต่ยังไง ก็ยังเร็วเกินไปที่จะตัดสินแบบนั้น<br>เรื่องนี้คงต้องศึกษากันอีกนาน"""
11_voice_NPC_5053_101#1,"""希少種がどうして誕生したのか。<br>それを考えることは、生態系の推移に<br>一つの答えを導き出すと思わないか？"""
Npc53_07_020#1,"""とはいえ、理由は未だ思い至らず。<br>なかなか難しいものだよね。"""
11_voice_NPC_5053_101#2,"""ทำไมพวกพันธุ์หายากถึงได้เกิดมาบนโลกนี้รู้รึเปล่า<br>คำตอบแรกที่ขึ้นมาในสมองชั้นก็คือ พวกมันเกิดมาเพื่อ<br>เปลี่ยนแปลงระบบนิเวศน์ยังไงล่ะ คิดเหมือนชั้นรึเปล่า?"""
Npc53_08_020#0,"""แต่ยังไง ก็ยังเร็วเกินไปที่จะตัดสินแบบนั้น<br>เรื่องนี้คงต้องศึกษากันอีกนาน"""
11_voice_NPC_5053_101#3,"""希少種がどうして誕生したのか。<br>それを考えることは、生態系の推移に<br>一つの答えを導き出すと思わないか？"""
Npc53_08_020#1,"""とはいえ、理由は未だ思い至らず。<br>なかなか難しいものだよね。"""
11_voice_NPC_5053_101#4,"""ทำไมพวกพันธุ์หายากถึงได้เกิดมาบนโลกนี้รู้รึเปล่า<br>คำตอบแรกที่ขึ้นมาในสมองชั้นก็คือ พวกมันเกิดมาเพื่อ<br>เปลี่ยนแปลงระบบนิเวศน์ยังไงล่ะ คิดเหมือนชั้นรึเปล่า?"""
Npc53_mb9_020#0,"""แต่ยังไง ก็ยังเร็วเกินไปที่จะตัดสินแบบนั้น<br>เรื่องนี้คงต้องศึกษากันอีกนาน"""
11_voice_NPC_5053_101#5,"""希少種がどうして誕生したのか。<br>それを考えることは、生態系の推移に<br>一つの答えを導き出すと思わないか？"""
Npc53_mb9_020#1,"""とはいえ、理由は未だ思い至らず。<br>なかなか難しいものだよね。"""
11_voice_NPC_5053_101#6,"""ทำไมพวกพันธุ์หายากถึงได้เกิดมาบนโลกนี้รู้รึเปล่า<br>คำตอบแรกที่ขึ้นมาในสมองชั้นก็คือ พวกมันเกิดมาเพื่อ<br>เปลี่ยนแปลงระบบนิเวศน์ยังไงล่ะ คิดเหมือนชั้นรึเปล่า?"""
Npc53_mb10_020#0,"""แต่ยังไง ก็ยังเร็วเกินไปที่จะตัดสินแบบนั้น<br>เรื่องนี้คงต้องศึกษากันอีกนาน"""
11_voice_NPC_5053_101#7,"""希少種がどうして誕生したのか。<br>それを考えることは、生態系の推移に<br>一つの答えを導き出すと思わないか？"""
Npc53_mb10_020#1,"""とはいえ、理由は未だ思い至らず。<br>なかなか難しいものだよね。"""
11_voice_NPC_5053_101#8,"""ทำไมพวกพันธุ์หายากถึงได้เกิดมาบนโลกนี้รู้รึเปล่า<br>คำตอบแรกที่ขึ้นมาในสมองชั้นก็คือ พวกมันเกิดมาเพื่อ<br>เปลี่ยนแปลงระบบนิเวศน์ยังไงล่ะ คิดเหมือนชั้นรึเปล่า?"""
Npc53_mb11_020#0,"""แต่ยังไง ก็ยังเร็วเกินไปที่จะตัดสินแบบนั้น<br>เรื่องนี้คงต้องศึกษากันอีกนาน"""
11_voice_NPC_5053_101#9,"""希少種がどうして誕生したのか。<br>それを考えることは、生態系の推移に<br>一つの答えを導き出すと思わないか？"""
Npc53_mb11_020#1,"""とはいえ、理由は未だ思い至らず。<br>なかなか難しいものだよね。"""
11_voice_NPC_5053_104#0,"""พันธุ์หายากกับพันธุ์ปกติ<br>อย่างไหนเกิดก่อน อย่างไหนเกิดหลังกันแน่"""
Npc53_mb12_020#0,"""แล้วเพราะพันธุ์ปกติเพิ่มจำนวนขึ้น ทำให้พวกมัน<br>เหลือน้อยลง หรือเพราะมันมีน้อยตั้งแต่แรกอยู่แล้ว<br>อันไหนกันแน่ อันไหนกันแน่..."""
11_voice_NPC_5053_104#1,"""希少種と通常種。<br>どちらが先で、どちらが後なのか。"""
Npc53_mb12_020#1,"""通常種が増え、数が少なくなったのか<br>派生したために、数が少ないのか。<br>大きな違いだが、さてどちらか……"""
11_voice_NPC_5053_104#2,"""พันธุ์หายากกับพันธุ์ปกติ<br>อย่างไหนเกิดก่อน อย่างไหนเกิดหลังกันแน่"""
Npc53_mb13_020#0,"""แล้วเพราะพันธุ์ปกติเพิ่มจำนวนขึ้น ทำให้พวกมัน<br>เหลือน้อยลง หรือเพราะมันมีน้อยตั้งแต่แรกอยู่แล้ว<br>อันไหนกันแน่ อันไหนกันแน่..."""
11_voice_NPC_5053_104#3,"""希少種と通常種。<br>どちらが先で、どちらが後なのか。"""
Npc53_mb13_020#1,"""通常種が増え、数が少なくなったのか<br>派生したために、数が少ないのか。<br>大きな違いだが、さてどちらか……"""
11_voice_NPC_5053_104#4,"""พันธุ์หายากกับพันธุ์ปกติ<br>อย่างไหนเกิดก่อน อย่างไหนเกิดหลังกันแน่"""
Npc53_mb14_020#0,"""แล้วเพราะพันธุ์ปกติเพิ่มจำนวนขึ้น ทำให้พวกมัน<br>เหลือน้อยลง หรือเพราะมันมีน้อยตั้งแต่แรกอยู่แล้ว<br>อันไหนกันแน่ อันไหนกันแน่..."""
11_voice_NPC_5053_104#5,"""希少種と通常種。<br>どちらが先で、どちらが後なのか。"""
Npc53_mb14_020#1,"""通常種が増え、数が少なくなったのか<br>派生したために、数が少ないのか。<br>大きな違いだが、さてどちらか……"""
