EnemyWeak#0,"""不要看對手弱小就大意了<br>別鬆懈！"""
EnemyLarge#0,"""沒事進化得這麼大一隻做什麼啊！"""
EnemyBoss#0,"""嘿，壓軸登場了是吧！"""
EnemyRare#0,"""哦，那傢伙是什麼啊<br>好像滿少見的耶？"""
EnemyBoost#0,"""......跟平常的傢伙<br>感覺不同，當心點"""
DestroyEnemy1#0,"""解決了！"""
DestroyEnemy2#0,"""下一個！"""
DestroyEnemy3#0,"""好，再來！"""
CondFreeze#0,"""好冷！"""
CondBurn#0,"""燙死啦！"""
CondShock#0,"""可惡，我麻痺了......"""
CondPoison#0,"""嘖......竟然中毒了......！"""
CondPanic#0,"""視野晃個不停......！"""
CondStan#0,"""身體竟然......不能動了！"""
CondMirage#0,"""我眼前模糊了......"""
Die#0,"""怎麼會這樣......"""
ThankHeal#0,"""多謝幫助！"""
ThankBuff#0,"""哦，謝啦！"""
ThankCure#0,"""唉......<br>這樣就能放心戰鬥了"""
DefeatEnemy#0,"""告一段落了吧？"""
LevelUp#0,"""你還有很大的成長空間"""
InvokeSkill1#0,"""用這招送你上西天！"""
InvokeSkill2#0,"""你的動作都被我猜透了！"""
InvokeSkill3#0,"""都被我看穿啦！"""
PBFull#0,"""是不是該表現一下了？"""
PBRelease#0,"""我要使出絕招了！"""
TacticsFree#0,"""我要照我的想法打了！"""
TacticsGuard#0,"""鞏固防禦，重新來過吧"""
TacticsMassedAttack#0,"""集中在一點上！"""
TacticsAttack#0,"""有膽就衝著我來！"""
Avoid#0,"""唉呦！"""
HealSelf#0,"""好險好險"""
BuffSelf#0,"""提高警覺上吧"""
HealOther#0,"""真是千鈞一髮"""
BuffOther#0,"""可別太大意了"""
QuestStart1#0,"""開始吧！"""
QuestStart2#0,"""好，上吧<br><%me>！"""
QuestEnd1#0,"""搞定！"""
QuestEnd2#0,"""結束了！<br>你也辛苦了！"""
IncidentStart#0,"""這就是所謂的意外狀況吧<br>哎，在戰場上常有的事！"""
IncidentSuccess#0,"""好耶！"""
IncidentFailure#0,"""唉呀......"""
PSE#0,"""開始了嗎！"""
PSELevelUp#0,"""繼續提升吧！"""
PSEBurst#0,"""好！<br>我也提振起精神上吧！"""
HP30#0,"""唉呀，好像受了不少損傷？"""
HP10#0,"""前衛果然不好幹啊......"""
ItemRare#0,"""哦，撿到好東西了耶！"""
DamageSmall#0,"""嗚！"""
DamageMiddle#0,"""嘖！"""
DamageLarge#0,"""嗚啊！"""
Trap#0,"""這裡怎麼會有個陷阱啊！"""
ThankTrapRescue#0,"""呼，真的幫了我大忙。"""
TrapRescueOther#0,"""喂，還好嗎？"""
MemberDamaged#0,"""要不要緊！"""
MemberDead#0,"""......好大的膽子！<br>竟敢在我面前撒野！！"""
AbilityExe#0,"""/toge 越打越順了！"""
AbilitySpecial#0,"""/toge 包在我身上！"""
Resurrect#0,"""......少得意忘形了"""
PartyJoin#0,"""/ci1 1 那麼，請多指教囉"""
Marvelous#0,"""身手不錯嘛！"""
IncidentJsApcBegin#0,"""/ci2 2 嗨，看你好像陷入苦戰了！<br>讓我來助你一臂之力吧！"""
IncidentJsApcFailure#0,"""唉呦，已經被打得這麼慘啦<br>這下有點麻煩了......<br>抱歉，我要收手了。"""
IncidentJsApcSuccess#0,"""/ci2 1 好，完成了！<br>也許是我多管閒事<br>算了，結果最重要啦"""
EnemyWeak#1,"""相手が弱くても油断は禁物だ<br>気を抜くなよ！"""
EnemyLarge#1,"""無駄に大きく進化しやがって！"""
EnemyBoss#1,"""ヘッ、真打ち登場ってとこだな！"""
EnemyRare#1,"""おっ、なんだあいつ<br>珍しいヤツなんじゃねえか？"""
EnemyBoost#1,"""……いつものヤツとは<br>雰囲気が違うぞ、気をつけろ"""
DestroyEnemy1#1,"""一丁あがり！"""
DestroyEnemy2#1,"""次行くぜ！"""
DestroyEnemy3#1,"""さあ次だ！"""
CondFreeze#1,"""寒っ！"""
CondBurn#1,"""熱っちゃあっ！"""
CondShock#1,"""くそっ、痺れが……"""
CondPoison#1,"""ちっ……毒かよ……！"""
CondPanic#1,"""視界が定まらねえ……！"""
CondStan#1,"""身体が動かねえ……だと！"""
CondMirage#1,"""目がかすみやがる……"""
Die#1,"""なんてこった……"""
ThankHeal#1,"""助かったぜ！"""
ThankBuff#1,"""おっ、サンキュな！"""
ThankCure#1,"""やれやれ……<br>これで心おきなく戦えるな"""
DefeatEnemy#1,"""これで一段落か？"""
LevelUp#1,"""まだまだ伸びるぜ、お前さんは"""
InvokeSkill1#1,"""こいつで終わりだ！"""
InvokeSkill2#1,"""狙い通りの動きだな！"""
InvokeSkill3#1,"""見え見えなんだよ！"""
PBFull#1,"""そろそろ見せ場ってところか？"""
PBRelease#1,"""奥の手、行くぜ！"""
TacticsFree#1,"""自由にやらせてもらうぜ！"""
TacticsGuard#1,"""防御を固めて仕切り直すか"""
TacticsMassedAttack#1,"""一点集中だ！"""
TacticsAttack#1,"""そら、こっちに来いよ！"""
Avoid#1,"""よっと！"""
HealSelf#1,"""危ねえ危ねえ"""
BuffSelf#1,"""油断せずに行くぜ"""
HealOther#1,"""危ないところだったな"""
BuffOther#1,"""あんまり油断するなよ"""
QuestStart1#1,"""はじめるか！"""
QuestStart2#1,"""おっしゃ、行こうぜ<br><%me>！"""
QuestEnd1#1,"""終わりっと！"""
QuestEnd2#1,"""終わりだな！<br>お前さんもお疲れ！"""
IncidentStart#1,"""不測の事態ってやつか<br>まあ、戦場にはつきものだ！"""
IncidentSuccess#1,"""よっしゃ！"""
IncidentFailure#1,"""あーっちゃあ……"""
PSE#1,"""始まったか！"""
PSELevelUp#1,"""さらに続けて行こうぜ！"""
PSEBurst#1,"""よっし！<br>こっちもテンション上げてくか！"""
HP30#1,"""おっと、結構食らったか？"""
HP10#1,"""前衛はやっぱキツいな……"""
ItemRare#1,"""おっ、いいもん拾ったな！"""
DamageSmall#1,"""うっ"""
DamageMiddle#1,"""ちいっ"""
DamageLarge#1,"""ぐあっ"""
Trap#1,"""こんなところに罠かよ！"""
ThankTrapRescue#1,"""ふぃー、助かったぜ"""
TrapRescueOther#1,"""おい、大丈夫か？"""
MemberDamaged#1,"""大丈夫か！"""
MemberDead#1,"""……やりやがったな！<br>俺の目の前で！！"""
AbilityExe#1,"""/toge 調子が出てきたぜ！"""
AbilitySpecial#1,"""/toge 任せとけ！"""
Resurrect#1,"""……調子乗るなよ"""
PartyJoin#1,"""/ci1 1 んじゃ、よろしくな"""
Marvelous#1,"""いい動きだ！"""
IncidentJsApcBegin#1,"""/ci2 2 よう、苦戦してるみたいだな！<br>ちょっくら手伝いに来てみたぜ！"""
IncidentJsApcFailure#1,"""っとと、ここまでやりこまれちまうと<br>ちょっと厳しいな……<br>すまんが俺は帰還させてもらうぜ。"""
IncidentJsApcSuccess#1,"""/ci2 1 よっし、終了っと！<br>余計なお世話だったかもしれんが<br>ま、終わりよければなんとやら、だ。"""
EnemyWeak#2,"""這點程度的對手，我也對付得了......！"""
EnemyLarge#2,"""怎、怎麼這麼大啊！"""
EnemyBoss#2,"""不可以逃，對吧？"""
EnemyRare#2,"""啊，那個傢伙是不是滿稀奇的啊？"""
EnemyBoost#2,"""......好、好有魄力啊"""
DestroyEnemy1#2,"""太棒了！"""
DestroyEnemy2#2,"""打倒了！\u3000......對吧？"""
DestroyEnemy3#2,"""別小看我<br>我也辦得到！"""
CondFreeze#2,"""好冰！"""
CondBurn#2,"""很燙耶！"""
CondShock#2,"""觸、觸電了！？"""
CondPoison#2,"""嗚......我，中毒了......？"""
CondPanic#2,"""頭好暈......"""
CondStan#2,"""快、快動啊，我的身體！"""
CondMirage#2,"""咦，咦，敵人在哪裡？"""
Die#2,"""我......又......"""
ThankHeal#2,"""......謝謝！"""
ThankBuff#2,"""謝謝你的輔助！"""
ThankCure#2,"""呼，終於解脫了"""
DefeatEnemy#2,"""總算是撐過去了......吧？"""
LevelUp#2,"""啊，好好喔！"""
InvokeSkill1#2,"""我最怕這個了耶！"""
TechIce#0,"""至少也要拖延時間！"""
TechThunder#0,"""可別以為我什麼都做不到！"""
PBFull#2,"""給我差不多一點！"""
PBRelease#2,"""你惹火我了！"""
TacticsFree#2,"""那我要照我的想法打囉！"""
TacticsGuard#2,"""保護自己！等待機會！"""
TacticsMassedAttack#2,"""只要大家齊心協力，一定能成功！"""
TacticsAttack#2,"""要、要我引開敵人啊？好吧......"""
Avoid#2,"""你在打哪裡啊？"""
HealSelf#2,"""我還不想死呢！"""
BuffSelf#2,"""沒有輔助可是很危險的"""
HealOther#2,"""沒事吧？\u3000我來恢復"""
BuffOther#2,"""強化術！<br>我就只會這一招呢"""
QuestStart1#2,"""我要上了─！"""
QuestStart2#2,"""一起加油吧，<%me>"""
QuestEnd1#2,"""結束了吧？"""
QuestEnd2#2,"""<%me>跟我都沒有大礙。嗯，很好很好！"""
IncidentStart#2,"""發、發生什麼事了？"""
IncidentSuccess#2,"""太棒了！"""
IncidentFailure#2,"""什麼......"""
PSE#2,"""快來了嗎？"""
PSELevelUp#2,"""繼續吧！"""
PSEBurst#2,"""好耶，成功了！一口氣維持到最後吧！"""
HP30#2,"""很痛耶！"""
HP10#2,"""嗚嗚......真糟......"""
