IncidentName#0,"""ก้าวข้าม Healing Obstacle"""
TrialBeginMsg#0,"""กำจัดอุปสรรคเพื่อฟื้นฟู HP ของท่าน!"""
TrialAbstract#0,"""กำจัดอุปสรรคเพื่อฟื้นฟู HP ของท่าน!"""
IncidentName#1,"""HP回復の妨害を乗り越えろ"""
TrialBeginMsg#1,"""HP回復効果の妨害を乗り越えろ！"""
TrialAbstract#1,"""HP回復効果の妨害を乗り越えろ！"""
NpcComOnBegin#0,"""/face2 อุปกรณ์ฝึกซ้อมได้ถูกติดตั้ง!<br>เครื่องพวกนั้นมีไว้เพื่อ... หยุดยั้งการใช้งานไอเทมฟื้นฟู!<br>ดังนั้นมันเป็นการยากขึ้นที่จะฟื้นฟูพลังกลับมา"""
NpcComOnSuccess#0,"""/face2 ดีมาก อุปกรณ์ได้หยุดทำงานแล้ว!<br>นี่คือทั้งหมดสำหรับการฝึกครั้งนี้"""
DirectionSwitch#0,"""/face2 หากท่านต้องการหยุดอุปกรณ์พวกนั้น<br>แค่เพียงจัดการกับสวิตช์ที่อยู่รอบๆก็พอ<br>แต่มันอาจมีมากกว่าหนึ่งอัน!"""
DirectionNoSwitch#0,"""/face2 หือ? เอ๊?<br>มันควรจะมีสวิตช์อยู่...<br>ช่วยไม่ได้! เราจะทำการฝึกโดยไม่มีมัน!"""
SwitchFirst#0,"""/face2 มีสวิตช์ทั้งหมด $(0) ที่รอบๆบริเวณนี้<br>พยายามจัดการมันให้หมด!"""
SwitchLast#0,"""/face2 เหลืออีกแค่ $(0) อัน! อดทนไว้!<br>นี่ก็เป็นการฝึกนะ พยายามเข้า!"""
NpcComOnBegin#1,"""/face2 おおっ、訓練用の装置が起動しましたね！<br>これは……回復効果低減の装置です！<br>体力回復しにくいですよー。"""
NpcComOnSuccess#1,"""/face2 はーい、装置の停止を確認！<br>この訓練はここまでですね！"""
DirectionSwitch#1,"""/face2 装置を止めたいのなら<br>周囲にある停止スイッチを押して下さい！<br>一個とは限りませんよー！"""
DirectionNoSwitch#1,"""/face2 んー？\u3000あれー？<br>停止スイッチが出るはずなんですが……<br>しょうがない、このまま訓練開始です！"""
SwitchFirst#1,"""/face2 停止スイッチは全部で$(0)個あるので<br>頑張って押してくださいねー！"""
SwitchLast#1,"""/face2 停止スイッチはあと$(0)個です！<br>これも訓練、頑張って、頑張って！"""
