name_7628#0,"""レラク"""
ssn_019090_003_0001#0,"""え？\u3000ああ、シトレーさんの言ってた人ですね。"""
ssn_019090_003_0002#0,"""あのオダンゴを輸送していたときは、<br>ドールズの襲撃を受けたんですよねぇ。"""
ssn_019090_003_0003#0,"""で、車両の後ろに攻撃が当たって、<br>コンテナが損傷したんですよ。"""
ssn_019090_003_0004#0,"""こっちは、戦いに集中してたから、<br>積み荷の状態はよく見ていなくて……。"""
ssn_019090_003_0005#0,"""気づいたときには、中身の一部がなくなってました。"""
ssn_019090_003_0006#0,"""……でも、そのときに、草むらのほうに逃げていく、<br>“丸い”なにかを見たような……。"""
ssn_019090_003_0007#0,"""見間違いかもしれないですが。"""
ssn_019090_003_0008#0,"""自分が覚えているのは、それくらいですね。"""
ssn_019090_003_0009#0,"""元気にやってますか？"""
ssn_019090_003_0010#0,"""アークスは、体が資本。<br>健康第一ですからね。"""
ssn_019090_003_0011#0,"""次は、ちゃんとトラックを守りたいですね。"""
ssn_019090_003_0012#0,"""貴重な車両なので。"""
