msc_014190_0010#0,"""どうですか？<br>何か進展はありましたか？"""
msc_014190_0020#0,"""無理……とは言いませんが、複雑な暗号でプロテクトされています。<br>最深部へ進むためのロックを解除するには時間がかかりそうです。"""
msc_014190_0030#0,"""マノンなら……わかったりしないかな？"""
msc_014190_0040#0,"""……見てみるわ。"""
msc_014190_0050#0,"""……ロックは解除できたわ。"""
msc_014190_0060#0,"""でも、あなたたちが最初に考えていたとおり……。"""
msc_014190_0070#0,"""南の拠点の制御室にある端末も操作しないと、<br>最深部へ進むためのロックは完全に解除されなさそうね。"""
msc_014190_0080#0,"""北の拠点の制御室にある端末だけでは、<br>最深部へのロックが解除されない可能性がある。"""
msc_014190_0090#0,"""その場合、対となる南の拠点の<br>制御端末も操作する必要があるだろう。"""
msc_014190_0100#0,"""やはり、そうでしたか……。"""
msc_014190_0170#0,"""では、予定通り“南の拠点”の攻略作戦に移る。<br>準備が出来次第集合せよ。"""
name01#0,"""エアリオ遠征隊レンジャー"""
name02#0,"""エアリオ遠征隊フォース"""
name03#0,"""スティア先遣隊ハンター"""
name04#0,"""スティア先遣隊ファイター"""
