Title#0,"""Caterdransa Subdual"""
Explanation#0,"""พวก Dagorii ที่คุ้มคลั่งได้โจมตี ARKS<br>ใน Skyscape บน Amduskia<br>มีรายงานว่ามีพวกสัตว์ร้ายคลืบคลานอยู่บนพื้นดิน<br>เราสงสัยว่ามันเป็นเผ่าพันธุ์เดียวกับ Caterdran<br>จงไปสู้กับ Caterdransa dragorii แล้วเก็บข้อมูลกลับมา<br><br>----------------------------------------<br>ท่านจะล้มเหลวถ้าแพ้การต่อสู้สุดท้าย"""
Title#1,"""キャタドランサ討伐"""
Explanation#1,"""惑星アムドゥスキア、浮遊大陸にて<br>アークスが狂った龍族に襲われる事例が<br>多発している。<br>地を這うような巨大な龍族との報告から<br>キャタドランの亜種と推測される。<br>以後の調査の際の参考にするために<br>キャタドランサと呼称されるこの龍族と<br>交戦し、データを入手してきて欲しい。<br>――――――――――――――――――――<br>失敗条件/最深部での敗北"""
SimpleExplanation#0,"""กำจัด Caterdransas!"""
SimpleExplanation#1,"""キャタドランサを討伐せよ！"""
a1#0,"""ผ่าน Client Order"""
a2#0,"""ผ่าน Client Order"""
a3#0,"""ต้องมีใบอนุญาตรับภารกิจระดับ Super Hard"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
