11_voice_NPC_5050_101#0,"""รับรายงานของเจ้าแล้ว<br>คำร้องขอสิทธิ์ (License)  ของเจ้าถูกจัดตามลำดับ<br>ขอชื่นชมและจะรอดูความสำเร็จต่อไปของเจ้า"""
text02#0,"""โอเค ตอนนี้เรื่องที่เป็นทางการก็หมดแล้ว<br>ขอข้าพูดด้วยตัวเองบ้าง"""
text03#0,"""Mag สามารถคิดและกระทำการต่างๆด้วยตัวมันเอง<br>แต่ละตัวของมันมีลักษณะพิเศษเหมือนเจ้ากับข้า<br>ซึ่งการพัฒนาจะขึ้นอยู่กับการเลี้ยงดู"""
text04#0,"""ข้าไม่รู้ชัดถึงการพัฒนา Mag<br>แต่เจ้าหน้าที่ ARKS คนอื่นๆ อาจจะบอกเจ้าได้"""
text05#0,"""จากนี้ไปเจ้าต้องร่วมชะตากรรมกับ Mag<br>โปรดดูแลมันเป็นอย่างดี"""
tutorial01#0,"""เกี่ยวกับ [ClientOrder]"""
tutorial02#0,"""ปรากฏ Client Order Request จาก Hans<br><br>Hans อยู่ที่ GateArea - WestQuestCounter"""
tutorial03#0,"""ปรากฏ Client Order Request จาก Emeline<br><br>Emeline อยู่ที่ ShoppingArea - MonumentSquare"""
tutorial04#0,"""ปรากฏ Client Order Request จาก Echo<br><br>Echo อยู่ที่ GateArea - ARKSCounter"""
11_voice_NPC_5050_101#1,"""はい、報告を承りました。<br>ライセンス授与の申請も滞りなく。<br>より一層の活躍を期待します。"""
text02#1,"""……とまあ、規定の報告文は<br>このような感じで締められています。<br>そのため、ここからは私の言葉です。"""
text03#1,"""マグは独自に思考し、行動します。<br>それは一律化したものではなく<br>所有者の意をくむように、成長します。"""
text04#1,"""マグの育成については、私は仔細を<br>存じ上げませんが、アークスの<br>どなたかならば、詳しいかと思います。"""
text05#1,"""なんにせよ、これ以後マグは<br>貴方と一蓮托生の存在となります。<br>大事に大切に、してあげてください。"""
tutorial01#1,"""『クライアントオーダー』について"""
tutorial02#1,"""ハンスにクライアントオーダーが発生しました。<br><br>ハンスはゲートエリア・西クエストカウンター前にいます。"""
tutorial03#1,"""エメラインにクライアントオーダーが発生しました。<br><br>エメラインはショップエリア・モニュメント広場にいます。"""
tutorial04#1,"""エコーにクライアントオーダーが発生しました。<br><br>エコーはゲートエリア・アークスカウンターにいます。"""
