un_020600_0010#0,"""ว่าไง เจ้าเองก็มาที่นี่ด้วยรึ<br>ดาวดวงนี้รู้สึกจะชื่อ Wopal ใช่รึเปล่า?<br>เป็นสถานที่ที่ไม่เลวเลยทีเดียวนะ"""
un_020600_0020#0,"""มีทะเลอยู่ทั่วอีกทั้งยังอากาศดี<br>นี่มันราวกับเป็นรีสอร์ทเลยจริงๆ"""
un_020600_0030#0,"""ตอนนี้อยู่ระหว่างตรวจสอบและมีศัตรู<br>อยู่ก็จริง แต่ถ้าเรื่องสงบลงแล้ว<br>ข้าก็อยากจะลองมาผ่อนคลายที่นี่ดูซักครั้ง"""
un_020600_0040#0,"""การเอาแต่สู้เพียงอย่างเดียวมันทำให้ข้าอึดอัด<br>เพราะงั้นนานๆ ทีจะพักบ้างก็ไม่เลวใช่มั้ยล่ะ"""
un_020600_0050#0,"""แต่ก็นะ เพื่อการนั้นก่อนอื่น<br>ก็จำต้องตรวจสอบดาวดวงนี้<br>ให้เรียบร้อยก่อนล่ะนะ"""
un_020600_0060#0,"""เอาล่ะถ้างั้น ข้าไปล่ะนะ<br>แล้วไว้เจอกัน"""
un_020600_0010#1,"""よう、お前も来たのか。<br>この惑星、確かウォパルと言ったか？<br>なかなかどうして、悪くない場所だ。"""
un_020600_0020#1,"""穏やかな気候に一面の海。<br>まるで、リゾートのような趣だな。"""
un_020600_0030#1,"""今でこそ調査にかり出されているし<br>敵も存在するが、落ち着いたら<br>一度のんびり訪れてみたいものだ。"""
un_020600_0040#1,"""戦ってばかりでは息が詰まる。<br>時には休息も悪くないだろう。"""
un_020600_0050#1,"""まあ、そのためにはまず<br>この惑星の調査をしっかりと<br>進めないとな。"""
un_020600_0060#1,"""それじゃ、オレは行く。<br>またな。"""
