name_7016#0,"""グレン"""
name_7004#0,"""クロフォード"""
name_7024#0,"""ヒバナ"""
ssn_017110_0010#0,"""お前が直接ここに来るとは。<br>何か問題が起きたか。"""
ssn_017110_0020#0,"""問題……とは少し違うけれど。<br>とりあえず、これを見てくれ。"""
ssn_017110_0030#0,"""なんだこれは。<br>リサージェントアークスの、観測者データ……？"""
ssn_017110_0040#0,"""“観測者名、ヒバナ”……。<br>……一体、どういうことだ。"""
ssn_017110_0050#0,"""まさか、ヒバナが、<br>リサージェントアークスだと言いたいのか。"""
ssn_017110_0060#0,"""……受け入れがたいのは、わかってる。<br>僕も、まだ、完全に受け入れられてはない。"""
ssn_017110_0070#0,"""これは、ファリア君と<%me>が、<br>ネームレスシティで手に入れたデータだ。"""
ssn_017110_0080#0,"""グレンと一緒に、このデータを見たくて……<br>ヒバナの本当のことを知りたくて、ここに来た。"""
ssn_017110_0090#0,"""ヒバナが……。<br>リサージェントアークス……？"""
ssn_017110_0100#0,"""……正直、にわかには信じがたい。<br>だが、お前がここに来てまで言うのであれば、信憑性の高い話なのだろう。"""
ssn_017110_0110#0,"""真実は、己の目で見るとしよう。"""
ssn_017110_0120#0,"""……じゃあ、再生するよ。"""
ssn_017110_0130#0,"""……観測者名、ヒバナ。観測記録、16日目。<br>アークスの訓練生との接触に成功。"""
ssn_017110_0140#0,"""驚くほど平均値から外れた、超人的なアークスがいた。<br>グレンと、クロフォードっていうの。"""
ssn_017110_0150#0,"""彼らを観測対象と定め、<br>今後の戦闘能力の成長を確認するため、さらなる接触を試みるわ。"""
ssn_017110_0160#0,"""観測記録、61日目。"""
ssn_017110_0170#0,"""頭脳明晰で采配に長けているクロフォードと、<br>自身の体力と、持ち前の勇猛さで何事にも立ち向かうグレン。"""
ssn_017110_0180#0,"""時折、彼らならば、<br>この星の未来を変えられるのではないかとさえ思う。"""
ssn_017110_0190#0,"""彼らとともに過ごす毎日は学びが多く、<br>私も本当に楽しく過ごせているわ。"""
ssn_017110_0200#0,"""……彼らのような人が長として育ってくれれば、<br>ハルファは、未来は、きっと……。"""
ssn_017110_0210#0,"""観測記録、145日目。"""
ssn_017110_0220#0,"""彼らとの仲が深まるにつれ、<br>時折、私の存在について悩むことがある。"""
ssn_017110_0230#0,"""私は、グレンとクロフォードに偽りの私を見せている。"""
ssn_017110_0240#0,"""アークスではない。星渡りではない。<br>“何も知らない”なんてことはないの。"""
ssn_017110_0250#0,"""私が彼らの思っている<br>“ヒバナ”じゃないのが、苦しいよ……。"""
ssn_017110_0260#0,"""観測302日目。<br>“上”から、ハルファにて大規模な作戦を展開すると聞いた。"""
ssn_017110_0270#0,"""新型エネミー、ニルス・スティアがセントラルシティを襲撃する……らしい。"""
ssn_017110_0280#0,"""私はルシエルの研究者、私は知っている者。<br>私は……“アークスのヒバナ”じゃない。"""
ssn_017110_0290#0,"""……どうするかは、決めないといけないよね。"""
ssn_017110_0300#0,"""私たちの未来は、私たちで変えなきゃ……ね……。"""
ssn_017110_0310#0,"""………。"""
ssn_017110_0320#0,"""さいごのメッセージは“上”の者の手が届かない、<br>約束の場所に、のこすわ。"""
ssn_017110_0330#0,"""そしてこのデータも……。"""
ssn_017110_0340#0,"""………。<br>これで、仕舞いか。"""
ssn_017110_0350#0,"""くそ。<br>なぜ俺たちには話してくれなかった。"""
ssn_017110_0360#0,"""俺が、俺たちが、<br>襲撃があることを知っているだけでも、未来が変わったかもしれないだろう。"""
ssn_017110_0370#0,"""僕たちが幼かったから……<br>彼女がすべて、抱え込むことになってしまった。"""
ssn_017110_0380#0,"""それが最善の選択だった。"""
ssn_017110_0390#0,"""クロフォードたちの負担を考えてのことだ。"""
ssn_017110_0400#0,"""ああ……ヒバナは本当に賢い人だ。"""
ssn_017110_0410#0,"""“変わった未来の先”で、僕たちが、<br>この事実に気づくことまで見越していたなんて。"""
ssn_017110_0420#0,"""データをルシエルに報告していなかったのは、<br>伝えなければならないことを削除されてしまうのを恐れたからだろうね。"""
ssn_017110_0430#0,"""……ふむ。<br>さいごのメッセージ、というのはどうする。"""
ssn_017110_0440#0,"""グレンに回収を任せてもいいかな。<br>回収できたら、ハルフィリア湖で会おう。"""
ssn_017110_0450#0,"""僕は、セントラルに戻って、準備をしてくるよ。<br>彼女への手向けを用意して、君たちを待っている。"""
ssn_017110_0460#0,"""わかった。<br>……一緒に来てくれるか、<%me>。"""
ssn_017110_0470#0,"""僕たちの“約束の場所”といえば、あそこだよね。"""
ssn_017110_0480#0,"""ああ、見当はついている。<br>行くぞ。"""
ssn_017110_0490#0,"""……全てを、見なければ。"""
