name01#0,"""Pati"""
name01#1,"""パティ"""
text00#0,"""โอ้ว เสร็จแล้วเหรอ !<br>ขอบใจมากเลยนะ !"""
text01#0,"""แต๊งกิ้วๆ !<br>ขอรับไปเลยละกันน้า !<br>ขอบใจมาก !"""
text02#0,"""รับของเรียบร้อย !<br>ขอบใจที่ช่วยทำให้นะ !"""
text03#0,"""ขอบคุณ 03"""
text00#1,"""いやーお疲れ様！<br>今回は、ありがと！"""
text01#1,"""どうもどうもー！<br>依頼品、受け取りましたー！<br>おっつかれさまー！"""
text02#1,"""受け取りましたー！<br>依頼、受けてくれてありがとね！"""
text03#1,"""ありがとう03"""
text00#2,"""แหม คงลำบากแย่เลยสิ !<br>นึกไม่ถึงเลยว่าจะออกมาเจ๋งขนาดนี้ !<br>ขอบคุณมากนะ !"""
text01#2,"""ไม่กะว่าจะได้ขนาดนี้เลยนะเนี่ย !<br>ขอบคุณนะ ดีกว่าที่คิดไว้ซะอีก !<br>คราวหน้าจะไปกวนอีกนะ !"""
text02#2,"""สุดยอด ! สุดยอดไปเลย !<br>นี่มันศิลปะชัดๆ !<br>คิดถูกจริงๆที่ขอให้ช่วย !"""
text03#2,"""ขอบคุณมาก 03"""
text00#3,"""いやーお疲れ様！<br>こんなに上手いなんて思わなかった！<br>ありがとね、助かったよ！"""
text01#3,"""予想外も予想外！<br>依頼以上の品をありがと！<br>次もよろしくね！"""
text02#3,"""すっごいね！\u3000いやーすっごい！<br>これぞ、最高傑作！<br>アナタに頼んでよかった！"""
text03#3,"""本当にありがとう03"""
