name_7200#0,"""カルテヴィエ"""
ssn_012051_0104#0,"""まあ、そんなややこしい話じゃないんだけどさ。"""
ssn_012051_0105#0,"""武器や防具は、アイテムラボで強化することができる。<br>でも、その強化にも限界があるのさ。"""
ssn_012051_0106#0,"""その限界を突破するには、<br>どうすればいいか……っていう話なのさ。"""
ssn_012051_0107#0,"""そこは、習うより慣れろってやつだね。<br>ほら、これをあげるから、ラボに行ってみるといいのさ。"""
ssn_012051_0401#0,"""プリムソードを10個、モノタイトを30個、デュアロマイトを30個、トライナイトを30個、120,000<pict reb_meseta>メセタを入手しました。"""
ssn_012051_0402#0,"""プリムナックルを10個、モノタイトを30個、デュアロマイトを30個、トライナイトを30個、120,000<pict reb_meseta>メセタを入手しました。"""
ssn_012051_0403#0,"""プリムライフルを10個、モノタイトを30個、デュアロマイトを30個、トライナイトを30個、120,000<pict reb_meseta>メセタを入手しました。"""
ssn_012051_0404#0,"""プリムマシンガンを10個、モノタイトを30個、デュアロマイトを30個、トライナイトを30個、120,000<pict reb_meseta>メセタを入手しました。"""
ssn_012051_0405#0,"""プリムロッドを10個、モノタイトを30個、デュアロマイトを30個、トライナイトを30個、120,000<pict reb_meseta>メセタを入手しました。"""
ssn_012051_0406#0,"""プリムウォンドを10個、モノタイトを30個、デュアロマイトを30個、トライナイトを30個、120,000<pict reb_meseta>メセタを入手しました。"""
ssn_012051_0407#0,"""プリムカタナを10個、モノタイトを30個、デュアロマイトを30個、トライナイトを30個、120,000<pict reb_meseta>メセタを入手しました。"""
ssn_012051_0408#0,"""プリムブーツを10個、モノタイトを30個、デュアロマイトを30個、トライナイトを30個、120,000<pict reb_meseta>メセタを入手しました。"""
ssn_012051_0409#0,"""プリムタクトを10個、モノタイトを30個、デュアロマイトを30個、トライナイトを30個、120,000<pict reb_meseta>メセタを入手しました。"""
ssn_012051_0410#0,"""プリムスラッシュを10個、モノタイトを30個、デュアロマイトを30個、トライナイトを30個、120,000<pict reb_meseta>メセタを入手しました。"""
ssn_012051_0501#0,"""プリムソードを1個、モノタイトを5個、デュアロマイトを5個、トライナイトを5個、10,000<pict reb_meseta>メセタを入手しました。"""
ssn_012051_0502#0,"""プリムナックルを1個、モノタイトを5個、デュアロマイトを5個、トライナイトを5個、10,000<pict reb_meseta>メセタを入手しました。"""
ssn_012051_0503#0,"""プリムライフルを1個、モノタイトを5個、デュアロマイトを5個、トライナイトを5個、10,000<pict reb_meseta>メセタを入手しました。"""
ssn_012051_0504#0,"""プリムマシンガンを1個、モノタイトを5個、デュアロマイトを5個、トライナイトを5個、10,000<pict reb_meseta>メセタを入手しました。"""
ssn_012051_0505#0,"""プリムロッドを1個、モノタイトを5個、デュアロマイトを5個、トライナイトを5個、10,000<pict reb_meseta>メセタを入手しました。"""
ssn_012051_0506#0,"""プリムウォンドを1個、モノタイトを5個、デュアロマイトを5個、トライナイトを5個、10,000<pict reb_meseta>メセタを入手しました。"""
ssn_012051_0507#0,"""プリムカタナを1個、モノタイトを5個、デュアロマイトを5個、トライナイトを5個、10,000<pict reb_meseta>メセタを入手しました。"""
ssn_012051_0508#0,"""プリムブーツを1個、モノタイトを5個、デュアロマイトを5個、トライナイトを5個、10,000<pict reb_meseta>メセタを入手しました。"""
ssn_012051_0509#0,"""プリムタクトを1個、モノタイトを5個、デュアロマイトを5個、トライナイトを5個、10,000<pict reb_meseta>メセタを入手しました。"""
ssn_012051_0510#0,"""プリムスラッシュを1個、モノタイトを5個、デュアロマイトを5個、トライナイトを5個、10,000<pict reb_meseta>メセタを入手しました。"""
