text01#0,"""การใช้อาวุธให้มีประสิทธิภาพนั้น<br>ท่านต้องฝึกฝนทุกวัน ยิ่งท่านฝึกมากเท่าไหร่<br>ท่านยิ่งพัฒนามากขึ้นเท่านั้น"""
text02#0,"""ท่านอาจจะเหนื่อยในตอนแรก<br>แต่ยิ่งท่านผ่าน Boot Camp มากเท่าไหร่ <br>ท่านจะยิ่งสนุกสนานไปกับการฝึกมากเท่านั้น"""
11_voice_NPC_5057_100#0,"""มือใหม่แบบท่าน ข้าได้ฝึกสอนมานักต่อนักแล้ว<br>เพราะฉะนั้นวางใจได้เลย"""
text100#0,"""Knuckles Gear"""
text101#0,"""สกิล Knuckles Gear จะเพิ่ม Gear Gauge เหนือ Palette หลัก<br>โดยค่า Gauge จะเพิ่มขึ้นเมื่อท่านโจมตีด้วย Knuckles"""
text102#0,"""ถ้าเกจเพิ่มขึ้น ความเร็วในการโจมตีของท่านจะเพิ่มขึ้น<br>ซึ่งจะเป็นประโยชน์อย่างมากในการต่อสู้<br>และเกจจะลดลงเมื่อท่านหยุดโจมตี"""
text01#1,"""武器の扱いとは一日にしてならず。<br>特訓すればするほど、その扱いは<br>上達していくものよ。"""
text02#1,"""最初は辛く、苦しいと思う特訓も<br>一つ一つ出来ることが増えるたびに<br>どんどん気持ちよくなっていく。"""
11_voice_NPC_5057_100#1,"""そういう教え子を<br>私は何人も送り出してきた。<br>だから、貴方も安心して従いなさい。"""
text100#1,"""『ナックルギア』について"""
text101#1,"""ナックルのギアシステムについて、説明します。<br><br>スキル「ナックルギア」を習得している場合には、<br>武器パレットの上部にギアゲージが追加されます。<br><br>ナックルは攻撃することでギアゲージが蓄積されていきます。"""
text102#1,"""ギアゲージが高まると攻撃速度が上昇し<br>戦闘を有利に進めることができます。<br><br>ギアゲージは攻撃を止めると減少します。"""
