text202005_1_1#0,"""はじめまして。<br>私、マジカルロボ★ゼクトといいます。"""
text202005_1_2#0,"""あなたですね？\u3000<br>この前、みたらしさん達と<br>「オーダーごっこ」で遊んだ方は。"""
11_voice_NPC_5634_100#0,"""「オーダーごっこ」って……<br>めっちゃ楽しそうじゃないですか！"""
text202005_1_4#0,"""私たちもやりたいんです。<br>ぜひ、「オーダーを出す役」を<br>やらせてもらえないでしょうか？"""
11_voice_NPC_5634_101#0,"""もし、私たちが出すオーダーの<br>「引き受ける役」をやってくれるなら<br>もう一回、話しかけてくださいね。"""
11_voice_NPC_5634_101#1,"""こちらはいつでもオーケーですよ。<br>しっかりスタンバってますので。"""
text202005_2_1#0,"""……"""
text202005_2_2#0,"""あっ、すいません。<br>ちょっと寝落ちしてました。"""
text202005_2_3#0,"""あるモノを作るのに<br>夜なべしたもので。"""
text202005_3_1#0,"""私のレッグパーツ、見てください。<br>ヒールの部分、すっごく……<br>えっちじゃないですか？"""
text202005_3_2#0,"""このシュッとしたメカメカしい<br>フォルムに、深く刻まれた溝……<br>えっっっっちだ……"""
11_voice_NPC_5634_100#1,"""ジェットブーツ、いいですよね～。<br>かっこいいし、楽しいし。"""
text202005_4_2#0,"""あと、女性キャラが履いていると<br>踏まれたくなりますね。"""
11_voice_NPC_5634_107#0,"""いやあ、めっちゃ楽しかったです！<br>また一緒に遊びたいですね。"""
text202005_5_2#0,"""あと今度会えたら<br>ぜひ、メカ話で盛り上がりましょう。"""
