Title#0,"""瀕臨深淵之物"""
Explanation#0,"""發生緊急情況！<br>黑暗法爾斯【巨軀】獨自<br>攻擊並侵入了ARKS戰艦。<br>現在雖然還維持人型<br>但他若在船內顯現其真正型態<br>遭受的損害恐怕難以想像。<br>迅速將黑暗法爾斯【巨軀】的人形型態<br>法爾斯．修奈爾找出並將其擊破。<br>――――――――――――――――――――<br>失敗條件/超過限制時間"""
Title#1,"""淵へと迫りしもの"""
Explanation#1,"""緊急事態発生！<br>ダークファルス【巨躯】が単機にて<br>アークスシップへ攻撃、侵入を果たした。<br>今はまだ人型形態を保っているようだが<br>シップ内であの真の姿を見せられたら<br>被害は想像を絶するものになる。<br>ダークファルス【巨躯】の人型形態である<br>ファルス・ヒューナルを探し出し撃破せよ。<br>――――――――――――――――――――<br>失敗条件/制限時間の経過"""
SimpleExplanation#0,"""朝最深處前進！"""
SimpleExplanation#1,"""最深部を目指せ！"""
a1#0,"""這是一個測試。"""
a2#0,"""這是一個測試。"""
a3#0,"""持有超級困難模式受理許可證"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
