name01#0,"""Cabracan"""
name02#0,"""Echo"""
name01#1,"""カブラカン"""
name02#1,"""エコー"""
skit01#0,"""/toge นี่ฟังนะพี่สาว<br>ทางไหนถูกชั้นจะบอกเอง โอเคปะ"""
skit02#0,"""/ci5 2 พูดมากชะมัด<br>เก่งนักก็เดินนำเลยสิ !<br>"""
skit01#1,"""/toge ええかねーちゃん。<br>正しい道順ってのを<br>オレが教えたるからな。"""
skit02#1,"""/ci5 2 うるさいわね。<br>やるからには前向いて<br>きちんと道案内しなさい！"""
skit01#2,"""/toge นี่ฟังนะพี่สาว<br>ทางไหนถูกชั้นจะบอกเอง โอเคปะ"""
skit02#2,"""พูดมากชะมัด<br>เก่งนักก็เดินนำเลยสิ !<br>"""
skit01#3,"""/toge ええかねーちゃん。<br>正しい道順ってのを<br>オレが教えたるからな。"""
skit02#3,"""うるさいわね。<br>やるからには前向いて<br>きちんと道案内しなさい！"""
