name_7664#0,"""호냔"""
ssn_005150_0001#0,"""あなた、見ない顔ね.<br>え? 아크스としての基礎を学んでいる?"""
ssn_005150_0002#0,"""じゃあ、もうちょっといろいろと身につけたら、<br>またここに来るといいわ."""
ssn_005150_0101#0,"""来たわね.<br>あたしはフォース教導官の호냔よ."""
ssn_005150_0102#0,"""구이덴から話は聞いてるわ.<br>あたしが直々に、フォースについて指導をしてあげる."""
ssn_005150_0151#0,"""あら、フォースではないのね."""
ssn_005150_0152#0,"""それなら\""クラスカウンター\""で<br>クラスをフォースにしてきてくれるかしら?"""
ssn_005150_0153#0,"""そのとき一緒にフォースのクラススキルも習得しておいてね."""
ssn_005150_0301#0,"""あらそう? 遠慮しなくていいのよ.<br>気が変わったら、また来るといいわ."""
ssn_005150_0103#0,"""フォースは遠距離からのテクニック攻撃が得意なクラスよ."""
ssn_005150_0104#0,"""エネミーの\""弱点属性\""で攻撃するっていうのが、<br>まあ、基本的な戦い方ね."""
ssn_005150_0105#0,"""クラススキルは、体内のフォトン貯蔵量を引き上げたり、<br>消費したフォトンの回復を早めたりするものが多いわ."""
ssn_005150_0106#0,"""なかでも、あたしのイチオシは\""フォトンフレア\""よ!"""
ssn_005150_0107#0,"""上手く活用して、敵を倒すといいわ.<br>訓練の課題を出すから、やってみてちょうだい."""
ssn_005150_0201#0,"""しっかり戦えたみたいね."""
ssn_005150_0202#0,"""이 훈련에서 클래스 스킬이 얼마나 중요한지 알겠지.<br>이것저것 배워서 익숙해졌으면 해."""
ssn_005150_0203#0,"""그럼 열심히 해봐."""
