name_7438#0,"""ヴィエンヌ"""
ssn_014970_0001_001#0,"""画像データ、ありがとう。<br>手間を取らせたな。"""
ssn_014970_0001_002#0,"""……直接、足を運びたいものだ。<br>早く、任務が落ち着くといいのだが……。"""
ssn_014970_0001#0,"""キミか。いいところに。"""
ssn_014970_0002#0,"""また行ってほしい場所があるのだ。<br>頼まれてくれないか？"""
ssn_014970_0101#0,"""見てのとおり、かなり険しい山だ。<br>だが、キミならば登頂できると信じている。"""
ssn_014970_0102#0,"""無理する必要はないからな。<br>時間のあるときにでも、よろしく頼む。"""
ssn_014970_0201#0,"""気にしないでくれ。<br>もちろん、任務優先だ。"""
ssn_014970_1001#0,"""キミか。よく来てくれた。"""
ssn_014970_1002#0,"""また、私のわがままを<br>聞いてもらえないだろうか？"""
ssn_014970_1101#0,"""レイヨルド峡江の滝……。<br>久しぶりに拝んでみたくなった。"""
ssn_014970_1201#0,"""気にしないでくれ。<br>もちろん、任務優先だ。"""
ssn_014970_1301#0,"""……今回の任務が終わったら、<br>ベルクマンとウォーラスを訪ねようと思う。"""
ssn_014970_1302#0,"""思い出話に興じるのも、悪くない。<br>フフ、楽しみだ……。"""
ssn_014970_1102#0,"""滝は、峡江の北にある。<br>低温地帯には、踏み込まなくていい。"""
ssn_014970_1103#0,"""位置の座標を確認して、<br>向かってみてくれ。"""
