un_012080_0001#0,"""???"""
un_012080_0010#0,"""สวัสดีค่ะ<br>ท่านก็มาสังเกตการณ์เหมือนกันหรือคะ?"""
un_012080_0020#0,"""มีประกาศลงมาให้ ARKS ทุกนาย<br>ตรึงกำลังไว้บริเวณนี้นี่นะคะ<br>ทำหน้าที่ของท่านไปเถอะค่ะ"""
un_012080_0030#0,"""เพียงแต่ ถ้าหากระหว่างนั้น<br>ท่านเจอมังกรคลั่ง...Haddred บ้างล่ะก็<br>ช่วยแจ้งให้ชั้นทราบด้วยนะคะ"""
un_012080_0040#0,"""พวก D-arkers อยู่กันเยอะขนาดนี้<br>มันอาจปรากฏตัวขึ้นเมื่อไหร่ก็ได้"""
un_012080_0050#0,"""เพราะดูเหมือนเจ้านั่น จะสนใจแต่การ<br>ไล่ฆ่าพวก D-arkers อยู่เหมือนกัน"""
un_012080_0060#0,"""เพราะฉะนั้น ถ้าเป็นไปได้..."""
un_012080_0070#0,"""...เพราะตอนนี้ เจ้านั่นได้กลาย<br>เป็นผู้ทรยศไปแล้ว<br>พูดตรงๆ ว่าไม่คิดมาก่อนเหมือนกัน"""
un_012080_0080#0,"""เพราะอย่างนั้น ชั้นจึง<br>ต้องออกตามหาผู้ทรยศนั่น"""
un_012080_0090#0,"""A.P.238/3/30"""
un_012080_0001#1,"""？？？"""
un_012080_0010#1,"""どうも。<br>あなたも警戒中ですか？"""
un_012080_0020#1,"""この近辺は、現在アークスの<br>警戒区域に指定されていますからね。<br>責務を全うしてください。"""
un_012080_0030#1,"""ただ、その最中であっても<br>暴走龍……ハドレッドを見かけたら<br>即時報告と殲滅をお願いします。"""
un_012080_0040#1,"""ダーカーの気配が濃いここになら<br>姿を見せるかもしれません。"""
un_012080_0050#1,"""あいつは、ダーカーを倒すことを<br>なによりの目的としていました。"""
un_012080_0060#1,"""だから、もしかしたら……"""
un_012080_0070#1,"""……とはいえ、もうあいつは<br>裏切り者ですから<br>正直なところはわかりませんね。"""
un_012080_0080#1,"""それでは、わたしは<br>あの裏切り者を探しますので。"""
un_012080_0090#1,"""A.P.238/3/30"""
