un_010050_0010#0,"""ว่าไง <%me><br>แหม มันสงบสุขดีจริง ๆ เลยนะว่ามะ"""
un_010050_0020#0,"""เพราะมีพวก D-arkers<br>มันก็เลยไม่มีทางสงบสุขงั้นเหรอ?<br>ไม่ใช่แบบนั้นเสมอไปหรอกน่า"""
un_010050_0030#0,"""เพราะว่าสภาพเมื่อ 10 ปีก่อนน่ะมันย่ำแย่<br>สุด ๆ เลยล่ะนะ ถ้าเทียบกับตอนนั้น<br>ข้ายังคิดว่าตอนนี้มันยังดีกว่าซะด้วยซ้ำ"""
un_010050_0040#0,"""โอ๊ะ ข้าจะมาพูดเรื่องแบบนี้ไม่ได้สิ เพราะการ<br>พูดเรื่องอดีตน่ะมันเป็นหน้าที่ของพวกลุง ๆ เขา"""
un_010050_0050#0,"""แต่ที่ข้าอยากจะบอกก็คือตอนนี้<br>ถือว่าสงบในระดับนึงล่ะนะ"""
un_010050_0060#0,"""พวกพ้องก็เพิ่มขึ้น แข็งแกร่งมากขึ้น<br>พวกเราเองก็เติบโตขึ้น<br>ข้าเองก็จะปกป้องทุกคนให้ได้เหมือนกัน"""
un_010050_0010#1,"""よー、<%me><br>いやあ、なんとも平和だな。"""
un_010050_0020#1,"""ダーカー居るから<br>平和じゃないだろって？<br>いやいやそうでもねーんだ。"""
un_010050_0030#1,"""十年前はかなりキツかったからな。<br>あのころに比べれば<br>ずいぶんマシだと思うぜ。"""
un_010050_0040#1,"""っと、俺がこんな話しちゃだめだな。<br>昔の話をするのはジジイの役目だ。"""
un_010050_0050#1,"""ま、何が言いたいかっていうと<br>なるようになる、ってことさ。"""
un_010050_0060#1,"""仲間も増えたし、力もついた。<br>俺だって成長してるからな<br>いざとなったら、皆守ってやるさ。"""
