name01#0,"""Astalte"""
11_voice_shop_412#0,"""ท่านสำเร็จทุกเงื่อนไขใน Card ใบนี้แล้ว<br>และนี่คือ Card ใบใหม่ของท่าน"""
text02#0,"""Card ใบนี้นั้นจะเป็น Card ที่<br>เกี่ยวเนื่องกับการ Craft"""
text03#0,"""และภารกิจแรกก็คือ <c bb0000>ไปพบคุณ Zig<c><br>ที่อยู่หน้า Teleporter"""
text04#0,"""ที่อยู่ของ Teleporter นั้น<br>ในกรณีที่เป็น GateArea ก็คือ <br>Teleporter ด้านข้างของ QuestCounter"""
text05#0,"""หากเป็นที่ ShopArea จะอยู่ที่ <br>เส้นรอบวงรอบนอกของ Monument Square"""
text06#0,"""และเมื่อท่านสามารถดำเนินภารกิจ<br>ได้จนสำเร็จลุล่วง ท่านก็จะได้รับการ<br>ประทับตราบน StampCard"""
text07#0,"""ถ้าเช่นนั้นก็พยายามเข้านะ"""
name01#1,"""アスタルテ"""
11_voice_shop_412#1,"""カードの取得条件を満たしていますね。<br>では、こちらが新しいカードです。"""
text02#1,"""こちらは、クラフトに関連した<br>カードとなります。"""
text03#1,"""最初の目標は、テレポーターの前で<br><c bb0000>ジグさんに会う<c>ことです。"""
text04#1,"""テレポーターの場所は<br>ゲートエリアの場合<br>クエストカウンター脇のテレポーター。"""
text05#1,"""ショップエリアならば<br>モニュメント広場の外周にあります。"""
text06#1,"""なお、すでに目標達成済みでしたら<br>引き続いてスタンプを押させて<br>もらいます。よろしくお願いします。"""
text07#1,"""それでは、頑張って下さい。"""
