11_voice_NPC_5462_100#0,"""メリークリスマース！<br>困ってるあたしたちに、愛の手をー！"""
skit_01_02#0,"""いや冗談じゃなくて……ふたりとも<br>どうしてこんな場所に立ってるのか<br>全然おぼえてないんだよねー。"""
11_voice_NPC_5462_102#0,"""しかもだよ！\u3000ショップエリアの<br>いつもの場所に戻ろうとしたらさー！<br>すでに、あたしたちがいたんだよ！"""
11_voice_NPC_5462_104#0,"""なにこれ、どゆこと！？<br>もしかして、パティエンティアの<br>そっくりさん爆誕！？"""
skit_01_05#0,"""で、とりあえず逃げてきたってわけ。<br>……あ、そうだ！\u3000こんな時は<br>通信でシエラを問い詰めてみよっと！"""
skit_01_06#0,"""いま通信しちゃうから待ってて！<br>たぶんその後、アナタにも何か<br>手伝ってもらうと思うからー！"""
skit_02_01#0,"""メリクリー。どう？<br>お願いしてるの、どんな感じかなー？"""
11_voice_NPC_5462_101#0,"""謎めいたサンタクロース！<br>その正体は何か！<br>真相を突き止めちゃうからねーっ！"""
11_voice_NPC_5462_100#1,"""クリスマスって<br>ワクワクしちゃうよね！<br>こんな可愛い服も着られるし！"""
skit_03_02#0,"""だから、クリスマスの間は<br>めいっぱい楽しんじゃうよ！<br>アナタも調査のお手伝い、よろしくね！"""
skit_04_01#0,"""あたしが思うに、サンタクロースは<br>裕福な暇人だと思う！"""
skit_04_02#0,"""だってだってプレゼント配るんでしょ！<br>タダで、みんなに！<br>ぜーったい裕福だって！"""
11_voice_NPC_5462_100#2,"""正体を暴いたら、たっくさん<br>プレゼントもらうんだー！<br>楽しみ！"""
skit_05_01#0,"""この前はありがとね！<br>すっごく楽しかったよー！"""
11_voice_NPC_5462_101#1,"""クリスマスって、ワクワクするね！<br>最後まで、たっぷり楽しむぞー！"""
