IncidentName#0,"""กำจัด $(0) """
TrialBeginMsg#0,"""กำจัด $(0) ทุกตัวที่พบ!"""
TrialAbstract#0,"""กำจัด $(0) ทุกตัวที่พบ!"""
IncidentName#1,"""$(0)討伐"""
TrialBeginMsg#1,"""$(0)を倒せ！"""
TrialAbstract#1,"""$(0)を討伐せよ！"""
NpcComOnBegin#0,"""สถานการณ์ฉุกเฉิน<br>พบปฏิกริยาของศัตรูที่แข็งแกร่งมาก<br>โปรดเตรียมจู่โจมโดยด่วน"""
NpcComOnSuccess#0,"""ไม่มีพบปฏิกริยาของศัตรูแล้ว<br>ขอบคุณทุกท่านสำหรับความช่วยเหลือ"""
NpcComOnBegin#1,"""緊急通達。<br>強力な敵性反応を確認。<br>早急な撃破をお願いします。"""
NpcComOnSuccess#1,"""敵性反応、消失しました。<br>各員の努力に感謝します。"""
NpcComOnBegin#2,"""สถานการณ์ฉุกเฉิน<br>พบปฏิกริยาของศัตรูที่แข็งแกร่งมาก<br>โปรดเตรียมพร้อมโจมตีด่วน"""
NpcComOnSuccess#2,"""ไม่มีพบปฏิกริยาของศัตรูแล้ว<br>ทำได้ดีมาก"""
NpcComOnBegin#3,"""緊急通達だ。<br>強力な敵性反応が確認された。<br>早急に撃破しろ。"""
NpcComOnSuccess#3,"""敵性反応の消失を確認。<br>よくやったな。"""
NpcComOnBegin#4,"""สะ...สถานการณ์ฉุกเฉิน!<br>ตรวจพบปฏิกริยาศัตรูที่แข็งแกร่งมาก!<br>โปรดรีบเตรียมตัวต่อสู้ด้วย!"""
NpcComOnSuccess#4,"""/face2 ศัตรูถูกกำจัดหมดแล้ว! <br>ทำได้ดีมาก ทุกคน!"""
NpcComOnBegin#5,"""きっ、緊急通達ですー！<br>強力な敵さんの反応を確認！<br>急いで撃破しちゃってくださーい！"""
NpcComOnSuccess#5,"""/face2 敵さんの反応消失ーっと！<br>みなさん、お疲れ様でしたー！"""
