text10#0,"""『ランクマッチ』について"""
text20#0,"""『パスワードマッチ』について"""
text30#0,"""『バトルランク』について"""
text40#0,"""『バトルランキング』について"""
text50#0,"""『ランキングの確認』について"""
text90#0,"""戻る"""
Title#0,"""『ランクマッチ』について"""
text0001#0,"""ランクマッチでは<br><c ffff00>バトルロビーの全ブロックのプレイヤーと<br>ランダムでマッチング<c>し<br>バトルするマッチング形式です。<br><br>このマッチング形式では<br>勝敗結果に応じて、バトルランクを決める<br>アリーナポイントが変動し<br>バトルコインを必ず入手できます。<br>"""
Title#1,"""『パスワードマッチ』について"""
text0001#1,"""パスワードマッチでは<br>同じパスワードを設定したプレイヤー同士で<br>マッチングすることが可能です。<br>\u3000<c ff4f3f>※ゲーム開始には6人以上が必要です。<c><br><br><c ff4f3f>このマッチング形式では<br>バトルコインが手に入らず<br>アリーナポイントも変動しません。<c><br><br><c ffff00>またバトル終了時の<br>再マッチングは存在せず<br>必ずバトルロビーに帰還します。<c>"""
text0002#0,"""<c 00b0f0>12人全員の所属ユニオンを決めたい<c>時は<br><c ffff00>参加パスワードを入力し<br>「敵ユニオンも上記パスワードを入力した<br>\u3000相手に限定」にチェックを入れる<c>ことで<br>マッチングを開始できます。<br><br><c 00b0f0>12人全員のユニオンをランダムにしたい<c>時は<br><c ffff00>参加パスワードのみ入力<c>して<br>マッチングを開始してください。<br><br>\u3000※どちらも入力しないことで<br>\u3000\u3000\u3000同じ無入力の人とマッチングできます。"""
Title#2,"""『バトルランク』について"""
text0001#2,"""ランクマッチのバトル終了時に<br>勝敗に応じて、所属ランクを決める<br>アリーナポイントが変化します。<br><br>アリーナポイントの値に応じて<br>自身の所属するランクが変動します。<br><br><c ffff00>このランクが高ければ高いほど<br>バトル終了時にもらえるバトルコインの量が<br>増加します。<c>"""
text0002#1,"""またアリーナポイントは一定期間<br>開催されるランキングにも影響します。<br><br><c ffff00>所属するランクが高ければ高いほど<br>期間終了時にもらえるランキング報酬が<br>より豪華なものになります。<c>"""
Title#3,"""『バトルランキング』について"""
text0001#3,"""バトルアリーナでは<br><c ffff00>毎月1日AM6:00～翌月1日AM6:00<c>で<br>全プレイヤーを対象としたランキングが<br>開催されます。<br><br>当月の1日AM6:00時点のランクや順位に基づき<br>ランキング報酬を<br><c 00b0f0>所属シップのアークスリーグ管理官ミミ<c>から<br>受け取ることができます。"""
text0002#2,"""<c ff4f3f>またランキングが終了した時点で<br>所属するランクに応じて<br>以下のようにリセットされます。<c><br><br>\u3000◆LEGEND\u3000⇒\u3000S1<br>\u3000◆S1～S4\u3000⇒\u3000\u3000S5\u3000◆S5\u3000⇒\u3000A1<br>\u3000◆A1～A4\u3000⇒\u3000A5\u3000◆A5\u3000⇒\u3000B1<br>\u3000◆B1～B4\u3000⇒\u3000\u3000B5\u3000◆B5\u3000⇒\u3000C1<br>\u3000◆C1～C4\u3000⇒\u3000C5\u3000◆C5\u3000⇒\u3000D1<br>\u3000◆D1～D4\u3000⇒\u3000\u3000D5\u3000◆D5\u3000⇒\u3000D5維持"""
Title#4,"""『ランキングの確認』について"""
text0001#4,"""自身のバトルランキング情報は<br><c 00b0f0>メインメニュー⇒コンテンツ情報⇒<br>バトルアリーナ情報<c>から確認できます。<br><br>また全体のバトルランキング情報や<br>過去の情報を見たい時は<br><c 00b0f0>バトルロビー内のバトルモニュメント<c>から<br>確認することができます。"""
