msc_011330_0010#0,"""……ふう。"""
msc_011330_0020#0,"""よく戦ったわ、アイナ。"""
msc_011330_0030#0,"""ありがとう、マノン。"""
msc_011330_0040#0,"""通信、回復しました。<br>ダイダルの撃破を確認。"""
msc_011330_0050#0,"""すごいですよ！<br>三人で倒しちゃうなんて。"""
msc_011330_0060#0,"""今のは？"""
msc_011330_0070#0,"""確認中です。<br>……これは!?"""
msc_011330_0080#0,"""レゾルの森で哨戒中の<br>ブルーダー隊、信号途絶……。"""
msc_011330_0090#0,"""えっ!?"""
msc_011330_0110#0,"""周辺の状況を確認します！"""
msc_011330_0120#0,"""ラン、アークス全員に非常呼集を。"""
msc_011330_0130#0,"""了解です。"""
msc_011330_0140#0,"""クロフォードからの非常呼集です。<br>各員、セントラルシティに帰還してください。"""
msc_011330_0150#0,"""わ、わかった。"""
