un_050080_0001#0,"""A.P.241/12/24/16:00"""
un_050080_0010#0,"""レディース、エェェンド<br>ジェントルメーン！"""
un_050080_0020#0,"""全アークスシップへ生中継でお届けする<br>世紀の戦技会場へ、ようこそ！"""
un_050080_0030#0,"""今回のイベントを仕切らせてもらうのは<br>みんなおなじみ戦闘部司令、ヒューイと！"""
un_050080_0040#0,"""戦闘部次席、クラリスクレイスだ！<br>みんな、よろしくな！"""
un_050080_0050#0,"""そ、想像以上の大事になってます……！<br>皆さん、お祭り的なものが<br>好きすぎやしませんか……！"""
un_050080_0060#0,"""やっぱりやめておく？"""
un_050080_0070#0,"""もう楽しむしかない"""
un_050080_0080#0,"""……いえ！<br>こんな大舞台に立てる機会<br>そうそうありませんから！"""
un_050080_0090#0,"""……はい！<br>こうなったら、めいっぱいこの状況を<br>楽しんで、アピールします！"""
un_050080_0100#0,"""それにそれに、守護輝士である<br><%me>さんとの手合わせ<br>実はとっても、楽しみなんです！"""
un_050080_0110#0,"""よぉーしそれじゃ<br>そろそろ選手、入場だーっ！"""
un_050080_0120#0,"""アークスならば、誰もが知ってる！<br>生ける伝説といっても過言ではない！<br>騒動解決星の数、受けた感謝も星の数！"""
un_050080_0130#0,"""守護輝士！<br><%me>！<br>シャオにも内緒で登場だーッ！"""
un_050080_0140#0,"""そんな守護輝士に立ち向かうのは<br>戦闘部、新規戦術班所属の若きホープ！<br>新クラス、ヒーローの設立者！"""
un_050080_0150#0,"""その名を、ストラトス！<br>たゆまぬ努力で駆け上がってきた<br>その姿、皆の目に焼き付けろーッ！"""
un_050080_0160#0,"""こうなったら、やるしかない！<br>……<%me>さん！<br>全力で、お願いします！"""
un_050080_0170#0,"""いいところなのに！<br>って、市街地にダーカー反応！？<br>予兆無しの発生だな！"""
un_050080_0180#0,"""残念だが、余興は中断だ！<br>観戦していた一般市民の皆は<br>アークスの誘導に従い、避難を頼む！"""
un_050080_0190#0,"""市街地でのダーカー発生……！"""
un_050080_0200#0,"""司令、次席！<br>私は今すぐ動けます！<br>このまま救助に向かいます！"""
un_050080_0210#0,"""何言ってる！<br>一人じゃ危ないぞ！"""
un_050080_0220#0,"""大丈夫です！<br>私、これでも優秀ですから！<br>……行ってきます！"""
un_050080_0230#0,"""あっ、おい、ストラトス！"""
un_050080_0240#0,"""<%me>。<br>すまないが……"""
un_050080_0250#0,"""みなまで言うな"""
un_050080_0260#0,"""任せておいて"""
un_050080_0270#0,"""……恩に着る！"""
skit01#0,"""The Hero"""
skit02#0,"""外伝\u3000少女が追いかけていた姿 """
name01#0,"""？？？"""
name02#0,"""？？？"""
