name_7439#0,"""Akatsuki"""
ssn_015600_0001#0,"""Bruder's always been the sort of guy who's wholly focused on training up the next generation of ARKS."""
ssn_015600_0002#0,"""But I never thought he'd find someone quite as gifted as yourself."""
ssn_015600_0003#0,"""As someone who's building up a platoon, I should also think more about training up my subordinates."""
ssn_015600_0101#0,"""Yo, you showed up at a good time!"""
ssn_015600_0102#0,"""Going forward, my 1st Platoon has started prioritizing the extermination of Dread Enemies."""
ssn_015600_0103#0,"""The scope of activities has increased for researchers and engineers, so we have to start reducing the risks for non-combatants."""
ssn_015600_0104#0,"""I want to ask you to help with that effort. What do you say?"""
ssn_015600_0201#0,"""Your target is a Dread Enemy in Stia's Fringes."""
ssn_015600_0202#0,"""Please lend us your strength. Good luck out there!"""
ssn_015600_0301#0,"""Mm, it can't be helped. Let me know if you change your mind."""
ssn_015600_1001#0,"""Thanks to your efforts, it's gotten easier to carry out our activities."""
ssn_015600_1002#0,"""However, it's not as if we're done just yet."""
ssn_015600_1003#0,"""After Stia's Fringes, our scope will extend into Dreisen Plant, and then into Outer Mediola."""
ssn_015600_1004#0,"""I want you to keep helping with our Dread Enemy sweep-up operation."""
ssn_015600_1005#0,"""Will you help us?"""
ssn_015600_1101#0,"""I want you to continue helping us with our Dread Enemy sweep-up operation in Dreisen Plant."""
ssn_015600_1102#0,"""Keep your wits about you. Good luck!"""
ssn_015600_1201#0,"""Understood. Come back when you have the time."""
ssn_015600_2001#0,"""I've been waiting."""
ssn_015600_2002#0,"""We're finally moving up our activities into Mediola."""
ssn_015600_2003#0,"""This mission will be incomparably dangerous, more so than any I've given you yet."""
ssn_015600_2004#0,"""Even so, will you accept it?"""
ssn_015600_2101#0,"""Bring down a Dread Enemy in Outer Mediola: Sector 2."""
ssn_015600_2102#0,"""This battle will likely be one of our harshest yet, but with your help, things should surely turn out well."""
ssn_015600_2103#0,"""I shall pray for your success!"""
ssn_015600_2201#0,"""I see. Let me know when your preparations are fully in order."""
ssn_015600_2301#0,"""From the bottom of my heart, I am stunned by your abilities."""
ssn_015600_2302#0,"""I'll be sure to tell Bruder about the extent of your efforts out here. I'm sure he'll be thrilled to hear it."""
ssn_015600_2303#0,"""You've set an incredible example for us all here in the 1st Platoon."""
ssn_015600_2304#0,"""I look forward to what the future holds."""
