a1#0,"""特定のクライアントオーダーのクリア"""
a2#0,"""特定のクライアントオーダーのクリア"""
a3#0,"""スーパーハード受注許可証の所持"""
a4#0,"""スーパーハード受注許可証の所持"""
a5#0,"""スーパーハード受注許可証の所持"""
Title#0,"""艦隊迎撃戦：敵旗艦突撃"""
Explanation#0,"""敵艦隊旗艦の主砲攻撃により<br>味方艦隊へ甚大な被害が広がっている。<br>これ以上の被害を抑えるため<br>敵旗艦へ突入し、これを撃沈せよ。<br>なお、目標内部に大型の敵性反応を確認。<br>各員、健闘を期待する。<br>――――――――――――――――――――<br>クリア可能回数/$(0)回<br>失敗条件/任務の失敗、制限時間の経過"""
NpcComMsg1#0,"""これより、本艦は<br>敵艦隊旗艦の主砲内部への<br>突撃作戦を決行します。"""
NpcComMsg2#0,"""この戦いの勝敗を左右する作戦です。<br>敵勢力による強い反撃が予想されます。"""
NpcComMsg3#0,"""最後まで気を抜くことなく……<br>必ず、無事に帰ってきてくださいね！"""
SimpleExplanation#0,"""敵艦隊旗艦を撃沈せよ！"""
Area0S#0,"""艦隊交戦区域"""
Area0L#0,"""艦隊交戦区域\u3000セクター３展開エリア"""
