11_voice_NPC_5019_100#0,"""Good work. Your report is excellent.<br>It looks like you've gotten the hang of the deck."""
text02#0,"""You have a solid foundation now, so you can<br>continue to learn."""
text03#0,"""You can keep that deck.<br>I hope you enjoy it."""
text04#0,"""See you later. Don't let me find out<br>you haven't been practicing with your deck."""
linewindow001#0,"""You can now invite Marlu to join you as a partner."""
text100#0,"""Client Requests"""
text101#0,"""Joseph has issued a client request.<br><br>You can find Joseph in the upper gate area."""
11_voice_NPC_5019_100#1,"""……ご苦労様。見事な報告だったわ。<br>もう十分に使いこなしている、と<br>言っても過言じゃないぐらい。"""
text02#1,"""……それだけタリスを<br>使いこなせるのなら<br>もう心配はいらないと思う。"""
text03#1,"""……そのタリスは餞別、あげるわ。<br>いっぱい使ってあげてね。"""
text04#1,"""……それじゃ、私はこれで。<br>これからもタリスの習熟に<br>励んでね。"""
linewindow001#1,"""<br>マールーをパートナーとして呼べるようになりました。<br>"""
text100#1,"""『クライアントオーダー』について"""
text101#1,"""ジョーゼフにクライアントオーダーが発生しました。<br><br>ジョーゼフはゲートエリア2階にいます。"""
