name_7717#0,"""ビバリー"""
ssn_014630_0001#0,"""なあなあ！<br>ちょっと話があるんだ。"""
ssn_014630_0002#0,"""いま時間、いいだろ？"""
ssn_014630_0201#0,"""あんたなら、<br>トリニテスの踏破、いけるって。"""
ssn_014630_0202#0,"""俺たちも応援してるからよ！<br>かっこいいところ見せてくれよ、な！"""
ssn_014630_0203#0,"""ありゃ、そうかー……。<br>じゃあ、気が向いたらまた声かけてくれ。"""
ssn_014630_0301#0,"""おおーっ！\u3000やったなー！<br>あんた、やっぱスゲーな。マジでリスペクトするぜ。"""
ssn_014630_0302#0,"""よし！\u3000俺たちも頑張るわー。<br>ちょっとでもあんたに近づけるようにな。"""
ssn_014630_0401#0,"""……って、ありゃ？\u3000もう踏破してたのか？<br>なんだよ、はやく言ってくれよー。"""
ssn_014630_0402#0,"""でもあんた、やっぱスゲーな。<br>マジでリスペクトするぜ。"""
ssn_014630_0403#0,"""よし！\u3000俺たちも頑張るわー。<br>ちょっとでもあんたに近づけるようにな。"""
ssn_014630_0501#0,"""あんた、やっぱスゲーな。<br>マジでリスペクトするぜ。"""
ssn_014630_0502#0,"""よし！\u3000俺たちも頑張るわー。<br>ちょっとでもあんたに近づけるようにな。"""
