name01#0,"""Aki"""
name01#1,"""アキ"""
text01#0,"""เฮ่อ... ได้แค่นี้คงพอแล้วมั้ง<br><%me><br>ไม่ต้องแล้วล่ะ ขอบใจมากนะ"""
text02#0,"""เวลาเลือดขึ้นหน้าแล้ว <br>ข้าชอบอาละวาดไม่สนว่าหน้าไหนเป็นหน้าไหน<br>เลยจำเป็นต้องมีคนคอยมาด้วยตลอดน่ะนะ"""
text03#0,"""อาจารย์ของข้าเคยสอนว่า ถ้าหากมีเพื่อน<br>ที่ใจเย็นกว่าและช่วยวิเคราะห์สถานการณ์ได้<br>เราก็จะทำอะไรผิดพลาดน้อยลง"""
text04#0,"""เรื่องต่างๆที่อาจารย์สอนมานั้น<br>ช่วยชีวิตข้าไว้แล้วไม่รู้กี่ครั้งต่อกี่ครั้ง...<br>"""
text05#0,"""...อืม แต่ถ้าจำแต่ไม่ทำก็เท่านั้นล่ะนะ<br>เป้าหมายคราวนี้ก็เสร็จแล้ว กลับกันเลยดีกว่า"""
text01#1,"""ふーっ、ま、こんなもんか。<br><%me><br>そろそろ大丈夫だ、ありがとな。"""
text02#1,"""頭に血が上っているときは<br>遮二無二身体を動かすのが一番。<br>ただし、必ず仲間を連れて行くように。"""
text03#1,"""これ、俺の師匠の教え。<br>冷静な判断が出来る仲間がいれば<br>無理も止めてくれる、とさ。"""
text04#1,"""師匠に教えてもらったことで<br>俺がどれだけ救われたことか……"""
text05#1,"""……っと、師匠語りしても仕方ない。<br>目標達成したんだ、帰ろうぜ。"""
