name01#0,"""Shea (Spring)"""
name01#1,"""シー（スプリング）"""
text01001#0,"""อ๊า เธอมาได้จังหวะพอดีเลย!"""
11_voice_NPC_5134_100#0,"""หากพูดถึงเรื่องงานรื่นเริงของ ARKS แล้วก็ต้อง<br>นึกถึงชั้น! เพื่อ Event ใหญ่ที่ Shea เป็นเจ้าภาพ<br>เธอจะช่วยร่วมมือกับชั้นซักเรื่องนึงจะได้มั้ย?"""
11_voice_NPC_5134_104#0,"""ว่าไง ไปถึงไหนแล้ว?<br>ไม่ว่าเมื่อไหร่ก็จะรอน้า!"""
text03001#0,"""เฮ้อ ขอบคุณที่เหนื่อยนะ!<br>เป็นเพราะความพยายามของเธอแท้ๆ <br>ครั้งนี้เองทุกคนก็มีรอยยิ้มกันถ้วนหน้า!"""
11_voice_NPC_5134_101#0,"""แถมยังได้รู้เรื่องของ Mr. Umbra อีกด้วย<br>ช่างยอดเยี่ยมไร้ที่ติไปเลย!<br>ขอบคุณจริงๆ นะ!"""
text01001#1,"""ああっ、ちょうどいいところに！"""
11_voice_NPC_5134_100#1,"""アークスの催し物といえばこのわたし！<br>シー主催の一大イベントのために<br>ひとつ、協力してくれないかなっ？"""
11_voice_NPC_5134_104#1,"""進捗はどんな感じかなっ？<br>いつまででも待つからねっ！"""
text03001#1,"""はー、おつかれさまっ！<br>貴方の頑張りのおかげで<br>今回もみんな、笑顔笑顔、だよっ！"""
11_voice_NPC_5134_101#1,"""Ｍｒ．アンブラの事もわかってきたし<br>まさに、言うことなしだねっ！<br>本当にありがとうっ！"""
11_voice_NPC_5134_100#2,"""เธอนี่ช่วยชั้นอยู่เสมอๆ เลยนะ!<br>ต่อจากนี้ไปเองถ้าเธอช่วยชั้นอีกเยอะๆ <br>ชั้นก็จะดีใจม๊ากมากเลยล่ะ!"""
11_voice_NPC_5134_100#3,"""いつもいつも助かってるよっ！<br>これからもたくさん、たっくさん<br>助けてくれると嬉しいなっ！"""
11_voice_NPC_5134_100#4,"""Event กับ Happening นั้นเป็นของคู่กัน!<br>ก็เลยจะขาดการสำรวจหรือรวบรวมข้อมูล<br>อะไรหลายๆ อย่างไปไม่ได้!"""
text02022#0,"""เพราะฉะนั้นขอร้องล่ะ! ช่วยชั้นทีนะ!<br>พลังของเธอคือสิ่งจำเป็น!"""
11_voice_NPC_5134_100#5,"""イベントにはハプニングがつきもの！<br>いろいろ調査や情報収集も<br>欠かせないものなのよねっ！"""
text02022#1,"""だからおねがいっ！\u3000手伝ってっ！<br>貴方の力が必要なのっ！"""
