IncidentName#0,"""การจู่โจม $(0)"""
TrialBeginMsg#0,"""ร่วมมือกับ ARKS คนอื่นเพื่อกำจัด $(0)!"""
TrialAbstract#0,"""ร่วมมือกับ ARKS คนอื่นเพื่อกำจัด $(0)!"""
IncidentName#1,"""$(0)撃破"""
TrialBeginMsg#1,"""他のアークスと共闘して<br>$(0)を撃破せよ！"""
TrialAbstract#1,"""他のアークスと共闘して<br>$(0)を撃破せよ！"""
NpcComOnBegin#0,"""ตรวจพบปฏิกริยาจากศัตรู<br>โปรดร่วมมือกันกำจัดศัตรูด้วย!"""
NpcComOnSuccess#0,"""/face2 ศัตรูถูกขับไล่ไปแล้ว<br>ทำได้ดีมาก เป็นการร่วมมือกันได้อย่างงดงามเลยทีเดียว!"""
NpcComOnFailure#0,"""ถ้าต่อสู้ต่อไปคงจะเป็นอันตรายเกินไป<br>ช่วยไม่ได้ ถอยทัพก่อนล่ะกัน"""
NpcComOnBegin#1,"""さらなる敵性反応を確認。<br>引き続き共闘を続行し撃退に<br>努めてください。"""
NpcComOnSuccess#1,"""/face2 敵性反応の撃退を確認。<br>急な共闘でしたが……<br>素晴らしい結果です。"""
NpcComOnFailure#1,"""これ以上の交戦は危険です。<br>残念ですがここは一旦引きましょう。"""
