name01#0,"""Brigitta"""
name01#1,"""ブリギッタ"""
skit01#0,"""รายงานด้วย โปรดรายงานด้วย<br>อ่าดีมาก ในที่สุดก็ติดต่อได้สักที่<br>ท่านเป็นอะไรมากไหม ?"""
skit02#0,"""การสื่อสารตัดถูกตัดขาด เกิดอะไรขึ้น ใครเจาะระบบ ?!?"""
skit03#0,"""ก่อนที่การสื่อสารจะถูกตัดขาด <br>ข้าเหมือนจะเห็นเงาอะไรแปลกๆ แว๊ปๆ นะ"""
skit04#0,"""มันเป็นครั้งแรกที่ข้ารู้สึกปลอดภัย<br>ข้าควรจะดีใจใช่ไหม ? ท่านเห็นว่ายังไง"""
skit01#1,"""……ください。応答してください！<br>あっ、よかった、やっと通じた！<br>ご無事ですか？"""
skit02#1,"""いきなり通信が途切れてしまって<br>一体何だったんでしょう？"""
skit03#1,"""通信が途切れる直前<br>人影のようなものが見えたような<br>気もするのですが……"""
skit04#1,"""……いえ、まずは無事の帰還を<br>喜ぶべきですね。<br>これより回収します。"""
skit01#2,"""/ci1 2 มากันเพียบเลยยยยยย<br>พวกมันมาเพราะต้องการอะไรกันแน่......"""
skit01#3,"""/ci1 2 すさまじい数ですね……<br>何が目的でこれほどの……"""
