RenameTitle#0,"""変更寵物名字"""
Rename#0,"""更改「$(2)」<br>的寵物名。<br>請輸入新的名字。<br><br><yellow>必要美賽達：$(0)（現在：$(1)）<c>"""
RenameConfirm#0,"""將變更寵物的名字。<br>確定麼？<br><br>　変更前：$(1)<br>　<yellow>変更後：$(0)<c>"""
RenameSuccess#0,"""寵物名字變更完畢。"""
NamingTitle#0,"""輸入寵物名字"""
Naming#0,"""可以給寵物取喜歡的名字。<br>請輸入寵物的名字。<br><br><yellow>※之後在寵物實驗室可以再次變更。<c>"""
NamingConfirm#0,"""要取「$(0)」這個名字麼？<br><br>※如果這個寵物和已經登録的寵物是同種類的<br>　「稀有度比現在的寵物高」的情況下，<br>　推薦進行寵物實驗室的<yellow>稀有度進化<c>。"""
NamingSuccess#0,"""登録完成。可以設置武器「奏具」。"""
HatchedTitle#0,"""寵物"""
POTENTIAL_000000#0,"""潛能０的説明"""
POTENTIAL_000001#0,"""潛能１的説明"""
POTENTIAL_000002#0,"""潛能２的説明"""
POTENTIAL_000003#0,"""潛能３的説明"""
POTENTIAL_000000#1,"""潛能０"""
POTENTIAL_000001#1,"""潛能１"""
POTENTIAL_000002#1,"""潛能２"""
POTENTIAL_000003#1,"""潛能３"""
Title#0,"""寵物一覧"""
Command1#0,"""寵物蛋合成"""
Command2#0,"""糖果盒子"""
Command3#0,"""放生寵物"""
Empty#0,"""沒有寵物"""
Title#1,"""寵物詳情"""
Empty#1,"""未選擇寵物"""
Tab1#0,"""1"""
Tab2#0,"""2"""
Tab3#0,"""3"""
Tab4#0,"""4"""
Ability#0,"""性格"""
Title#2,"""糖果盒子"""
candyadd#0,"""糖果追加"""
candyremove#0,"""糖果的移動和削除"""
Edit#0,"""糖果盒子編集"""
AllErase#0,"""刪除所有糖果"""
Remover#0,"""取下糖果"""
AllRemover#0,"""取下所有糖果"""
IceCrush#0,"""刪除奈糖方塊"""
RemoverMessage#0,"""把這個糖果放回道具背包。<br>確定麼？<br><br><yellow>必要キャンディーリムーバー数：１<br>(所持数：$(0))<c>"""
AllEraserMessage#0,"""<yellow>刪除全部<c><br>設置在這個糖果盒子的糖果。<br>真的確定刪除麼？<br><br><c ff4f3f>※刪除的糖果也不會歸還。<c><br><br><yellow>必要全キャンディーイレイサー数：1<br>（所持数:$(0))<c>"""
RemoverResultMessage#0,"""取下了被設置在糖果盒子的糖果<br>並放回了道具背包。"""
AllEraserResultMessage#0,"""刪除了全部糖果。"""
IceCrushMessage#0,"""刪除該奈糖方塊。<br>確定麼？<br><br><yellow>必要キャラメルクラッシャー数：１<br>(所持数：$(0))<c>"""
IceCrushResultMessage#0,"""刪除了奈糖方塊。"""
SaveMessage#0,"""追加以下道具到糖果盒子。<br>確定麼？"""
SaveMessage2#0,"""刪除以下的糖果。<br>確定麼？<br><br><c ff4f3f>※刪除的糖果也不會歸還。<c><br><yellow>必要キャンディーイレイサー数：$(0)<br>(所持数：$(1))<c>"""
CancelSaveMessage#0,"""放棄變更並且返回。<br>確定麼？<br>（編輯後按下「決定」按鈕保存）"""
SaveResultMessage#0,"""保存了<br>糖果盒子的内容。"""
Move#0,"""移動"""
Detach#0,"""暫時取下"""
CandyList#0,"""糖果清單"""
AllRemoverMessage#0,"""把所有設置在該糖果盒子的糖果<br>放回道具背包。<br>確定麼？<br><br><yellow>必要全キャンディーリムーバー数：1<br>（所持数:$(0))<c>"""
AllRemoverResultMessage#0,"""把所有糖果<br>放回了道具背包。"""
ItemPackErrorMessage#0,"""因道具背包剩餘空間不足，未能使用。"""
ConfirmTitle#0,"""確認使用道具"""
CandySize#0,"""$(0)x$(1)"""
StatusTitle#0,"""状態"""
Attribute#0,"""属性抗性"""
StatusNumber#0,"""$(0)<c ff9c70> (＋$(1))<c>"""
StatusPercent#0,"""$(0)%"""
StatusNumber2#0,"""(+$(0))"""
CandyTypeName1#0,"""巴菲"""
CandyTypeName2#0,"""卷形麵包"""
CandyTypeName3#0,"""曲奇餅"""
CandyTypeName4#0,"""煎餅"""
CandyTypeName5#0,"""檸檬水"""
CandyTypeName6#0,"""可麗餅"""
CandyTypeName7#0,"""糖"""
CandyTypeName8#0,"""三明治"""
CandyTypeName9#0,"""軟糖"""
NumberUnlimited#0,"""20"""
StatusNumberMinus#0,"""$(0)<c 32cdff> (－$(1))<c>"""
StatusPercentPlus#0,"""$(0)%<c ff9c70> (＋$(1))<c>"""
StatusPercentMinus#0,"""$(0)%<c 32cdff> (－$(1))<c>"""
PetName#0,"""$(0) ($(1)種)"""
IceCrushTitle#0,"""刪除奈糖方塊"""
RemoverTitle#0,"""取下糖果"""
IceCrushNumber#0,"""現在の所持数"""
RemoverNumber#0,"""現在の所持数"""
EraserNumber#0,"""糖果橡皮"""
RemoverHelp#0,"""請選擇一個<br>想取下並放回道具背包的糖果。<br><br><yellow>必要キャンディーリムーバー数：１<c>"""
IceCrushHelp#0,"""請選擇一個<br>想刪除的奈糖方塊。<br><br><yellow>必要キャラメルクラッシャー数：１<c>"""
CompositeRemainTime1Minute#0,"""剩餘：　不足1分鐘"""
CompositeRemainTime#0,"""剩餘：　$(0)分"""
CompositeRemainGauge#0,"""+$(0)（+<pict pet_stone_red>$(1)）"""
CompositeRemainGaugeExtendPay#0,"""+$(0)"""
CompositeRemainGaugeExtendNotPay#0,"""（+<pict pet_stone_red>$(0)）"""
MaxCountError#0,"""無法繼續設置<br>該種類的糖果。"""
AttributeWarning#0,"""属性値已超過上限、<br>因此多餘的部分被捨棄。"""
IceClushRarityError#0,"""未能執行。"""
HP#0,"""HP"""
Strike#0,"""打擊力"""
Firearm#0,"""射擊力"""
Techinic#0,"""法擊力"""
Dex#0,"""技量"""
DfpStrike#0,"""打撃防禦"""
DfpFirearm#0,"""射撃防禦"""
DfpTechnic#0,"""法撃防禦"""
Element#0,"""属性"""
ItemErrorMessage#0,"""$(0)不足。"""
MoveHelp#0,"""選擇取下的話已被設置的糖果將會被取下。<br>如果想再一次設置的話<br>請在糖果追加設置已取下的糖果。"""
ParfaitErrorMessage#0,"""無法設置同樣效果的巴菲。"""
Title#3,"""寵物蛋合成"""
List_Title#0,"""寵物蛋選擇"""
List_CheckLockMessage#0,"""不顯示處於鎖定的道具"""
List_DirectBuy#0,"""充值可合成次數<pict StarGem>"""
List_PopupGuide#0,"""請選擇要合成的寵物蛋。"""
Param_Title#0,"""寵物附加值"""
DesideYesNo_Title#0,"""寵物蛋合成"""
DesideYesNo_Msg#0,"""寵物蛋$(1)<br>被合成給寵物「$(0)」。<br>確定麼？"""
DesideYesNo_MsgLock#0,"""寵物蛋$(1)<br>被合成給寵物「$(0)」。<br>確定麼？<br><br><yellow>選擇了處於鎖定状態的道具。<c>"""
RareYesNo_Title#0,"""寵物蛋合成"""
RareYesNo_Msg#0,"""這個寵物蛋是稀有度$(0)或以上的。<br>真的要合成麼？"""
Toast_Success#0,"""寵物蛋合成了。"""
Toast_SuccessName#0,"""$(1)<br>合成給了$(0)。"""
SubstitutePetName#0,"""寵物"""
SubstituteEggName#0,"""寵物蛋"""
Warning_MaxLv_Title#0,"""寵物蛋合成"""
Warning_MaxLv_Msg#0,"""已達到等級上限、<br>無法獲得經驗值。<br><br>※只能提高附加值。"""
Warning_MaxParam_Title#0,"""寵物蛋合成"""
Warning_MaxParam_Msg#0,"""$(0)的附加值已達到上限<br>存在無法繼續提升的數值。"""
Warning_MaxAll_Title#0,"""寵物蛋合成"""
Warning_MaxAll_Msg#0,"""對$(0)<br>繼續寵物蛋合成<br>是沒有效果的。"""
Warning_MaxAll_MsgPreLimitBreak#0,"""對$(0)<br>繼續寵物蛋合成<br>是沒有效果的。<br><br>請去大廳區域找<red>皮埃托洛<c>，<br>對$(1)進行<yellow>界限突破<c>。"""
Warning_LockEgg_Title#0,"""寵物蛋合成"""
Warning_LockEgg_Msg#0,"""處於鎖定状態的道具<br>無法用於寵物蛋合成。"""
DirectBuy_EggSynthesisNum_MaxCount_Title#0,"""確認購買道具"""
DirectBuy_EggSynthesisNum_MaxCount_Msg#0,"""「可合成次數恢復」、超過$(0)次時<br>無法購買。"""
DirectBuy_EggSynthesisNum_FromButton_Title#0,"""確認購買道具"""
DirectBuy_EggSynthesisNum_FromButton_Msg#0,"""<pict StarGem><c 1dedd7>SG消費内容<c><br><br>可以使用SG充值<br>$(0)的可合成次数。<br><br>進入「可合成次數恢復」的<br>購入確認画面麼？"""
DirectBuy_EggSynthesisNum_FromEmpty_Title#0,"""確認購買道具"""
