name01#0,"""Ashtalt"""
text01#0,"""The seal is complete.<br>Thank you."""
11_voice_shop_414#0,"""Your next task is a client request from Cofy."""
text03#0,"""Your goal is to accept and complete <br><c bb0000>Extended Sub-Palette Test I<c>."""
text04#0,"""Please note that you must be at <br>least Class Level 20 to accept this quest."""
text05#0,"""Please do your best."""
name01#1,"""アスタルテ"""
text01#1,"""押印完了しました。<br>お疲れ様でした。"""
11_voice_shop_414#1,"""次の課題は、コフィーの<br>クライアントオーダーです。"""
text03#1,"""<c bb0000>「サブパレット拡張試練・Ⅰ」<c>の<br>受注と達成が目的となります。"""
text04#1,"""受託するための条件に<br>クラスレベル２０以上とありますので<br>ご注意下さい。"""
text05#1,"""それでは、頑張って下さい。"""
