name#0,"""Tia"""
name#1,"""ティア"""
11_voice_NPC_5013_100#0,"""โอ๊ะๆ มาได้จังหวะพอดีเลย!<br>มาๆๆๆ มาทางนี้ๆ!"""
favs_before_020#0,"""จ่างจ๊าง!<br>อ่ะนี่จ้า ของขวัญไงล่ะ!"""
favs_after_010#0,"""รบกวนเธอไว้ตั้งหลายอย่าง<br>ก็ต้องตอบแทนกันบ้างจริงมั้ย?"""
favs_after_020#0,"""ไว้เดี๋ยวคราวหน้าจะไปกวนอีกน้า!"""
11_voice_NPC_5013_100#1,"""おやおやっ、ちょうどいいところに！<br>さささ、こっちへこっちへ！"""
favs_before_020#1,"""じゃじゃーん！<br>はいこれ、プレゼントだよっ！"""
favs_after_010#1,"""アナタにはいつもお世話になってるし<br>そのお礼、みたいな？"""
favs_after_020#1,"""それじゃ、これからもよろしくねっ！"""
favs_present_010#0,"""Pati มอบ [Element Synthesizer] ให้กับท่าน"""
favs_present_020#0,"""Pati มอบ [Scissor Edge] ให้กับท่าน"""
favs_present_030#0,"""Pati มอบ [Element Synthesizer] ให้กับท่าน"""
favs_present_040#0,"""Pati มอบ [Rumbling Moon] ให้กับท่าน"""
favs_present_050#0,"""Pati มอบ [Element Synthesizer] ให้กับท่าน"""
favs_present_060#0,"""Pati มอบ [Illusion Frenzy] ให้กับท่าน"""
favs_present_070#0,"""Pati มอบ [Element Synthesizer] ให้กับท่าน"""
favs_present_080#0,"""Pati มอบ [Fake Captcha] ให้กับท่าน"""
favs_present_090#0,"""Pati มอบ [Element Synthesizer] ให้กับท่าน"""
favs_present_100#0,"""Pati มอบ [Deadly Archer] ให้กับท่าน"""
favs_present_010#1,"""パティから『シンセサイザー』を受け取りました。"""
favs_present_020#1,"""パティから『シザーエッジ』を受け取りました。"""
favs_present_030#1,"""パティから『シンセサイザー』を受け取りました。"""
favs_present_040#1,"""パティから『ランブリングムーン』を受け取りました。"""
favs_present_050#1,"""パティから『シンセサイザー』を受け取りました。"""
favs_present_060#1,"""パティから『イリュージョンレイヴ』を受け取りました。"""
favs_present_070#1,"""パティから『シンセサイザー』を受け取りました。"""
favs_present_080#1,"""パティから『フェイクキャプチャ』を受け取りました。"""
favs_present_090#1,"""パティから『シンセサイザー』を受け取りました。"""
favs_present_100#1,"""パティから『デッドリーアーチャー』を受け取りました。"""
text100#0,"""แจ้งวิธีการเปลี่ยน My Room ชั่วคราว"""
text1000#0,"""แจ้งวิธีการเปลี่ยน My Room ชั่วคราว"""
text100#1,"""一仮テキストトーストでマイルームの変更方法を通知する。"""
text1000#1,"""二仮テキストトーストでマイルームの変更方法を通知する。"""
11_voice_NPC_5013_100#2,"""อื้มม มันต้องได้พักสักหน่อยแบบนี้ถึงจะดีเนอะ!<br>เอ้า บิดขี้เกียจแรงๆเลย!"""
Patty_01_020#0,"""แต่ชั้นว่า Pati จังพักมากไปแล้วนะ"""
11_voice_NPC_5013_100#3,"""んー、やっぱり息抜きは重要だよね！<br>ほら、ぐーっと背伸びをして！"""
Patty_01_020#1,"""パティちゃんは息抜きすぎだと思うよ。"""
11_voice_NPC_5013_104#0,"""จะว่าไป ตั้งแต่พวกเรามาเป็น <br>ARKS เนี่ย ยังไม่เคยมีผลงาน<br>อะไรซักอย่างเลยเนอะ"""
Patty_02_020#0,"""\""พวกเรา\""?<br>เดี๋ยวสิ Pati จัง<br>เมื่อกี้พูดว่า \""พวกเรา\"" เหรอ?"""
11_voice_NPC_5013_104#1,"""しっかし、あたしたち<br>アークスになれなかったら<br>何も出来ない子になってたよねー。"""
Patty_02_020#1,"""あたし『たち』？<br>ねえパティちゃん？<br>今、『たち』って言った？"""
