ssc_508030_0010#0,"""おっと……。<br>なんだキミか。"""
ssc_508030_0020#0,"""敵かと思って焦ったよ。"""
ssc_508030_0030#0,"""この前も、調査中に敵に襲われて、<br>タイヴァスたちに迷惑かけたばかりでね。"""
ssc_508030_0040#0,"""みんなが、すっごい戦ってるのに、<br>僕だけ珍しい鉱石にかまけててさ。"""
ssc_508030_0050#0,"""……って、その話は今はいいか。"""
ssc_508030_0060#0,"""ここでなにを？"""
ssc_508030_0070#0,"""今も調査中？"""
ssc_508030_0080#0,"""いや、とくになにも。"""
ssc_508030_0090#0,"""景色を眺めてただけ。"""
ssc_508030_0100#0,"""いや、今日はただの気分転換。"""
ssc_508030_0110#0,"""ずっと、部屋にこもってるのも、<br>思考が硬直化してよくないからね。"""
ssc_508030_0120#0,"""このところ、<br>ずっとセントラルキャノンのことを考えていてね。"""
ssc_508030_0130#0,"""エアリオのセントラルキャノンは、<br>ロストセントラルのキャノンのデータを元に調整した。"""
ssc_508030_0140#0,"""ふたつのキャノンは、すごくよく似てるんだよ。"""
ssc_508030_0150#0,"""フォトンジェネレーターの総数とか、<br>キャパシタユニットのフォトン蓄積量とか……。"""
ssc_508030_0160#0,"""スペック的には、結構違うんだけど、<br>基本構造はほとんど同じ。"""
ssc_508030_0170#0,"""だから、ロストセントラルのキャノンを調べることで、<br>エアリオのキャノンの問題は、ほとんど解消できた。"""
ssc_508030_0180#0,"""……ってことは、つまり……。"""
ssc_508030_0190#0,"""セントラルキャノンって呼ばれるものは、<br>ある程度の量産性を考慮して設計されたってことになる。"""
ssc_508030_0200#0,"""そもそも、ロストセントラルと<br>セントラルシティ自体の相似性が高い。"""
ssc_508030_0210#0,"""見た目だけじゃなくて、<br>都市としての構造も。"""
ssc_508030_0220#0,"""セントラルシティは、<br>ロストセントラルを模して造られた。"""
ssc_508030_0230#0,"""だから、似てるのは当たり前なんだけど、<br>その基礎を作ったのは“僕たち”じゃない……。"""
ssc_508030_0240#0,"""セントラルシティも都市基盤は、<br>もともとその場にあったものを流用している。"""
ssc_508030_0250#0,"""“誰か”が作った設計図をもとにして、<br>資材をそろえて都市構造を再現したにすぎない。"""
ssc_508030_0260#0,"""……実は、つい先日、<br>リテムシティの地下で巨大なコンテナが見つかったんだ。"""
ssc_508030_0270#0,"""中に入っていたのは、<br>セントラルキャノンのパーツ。"""
ssc_508030_0280#0,"""これもまた、エアリオとクヴァリスのキャノンと、<br>ほとんど同じものだったんだよ。"""
ssc_508030_0290#0,"""リテムシティは、<br>今でこそあのカタチだけど……。"""
ssc_508030_0300#0,"""もしかしたら、セントラルシティと同じような都市が、<br>作られる予定だったのかもしれない。"""
ssc_508030_0310#0,"""……作るって、誰が？"""
ssc_508030_0320#0,"""……昔のリテムの人々が？"""
ssc_508030_0330#0,"""……って、話しになるよね。"""
ssc_508030_0340#0,"""いや、そうじゃなくて。"""
ssc_508030_0350#0,"""今のハルファの人々とは異なる<br>……“誰か”。"""
ssc_508030_0360#0,"""ハルファのいたるところに、<br>巨大な建造物を残し、忽然と消えた存在……。"""
ssc_508030_0370#0,"""居たことだけは間違いないけど、<br>これまでの僕たちは、その空白部分に踏み込めていなかった。"""
ssc_508030_0380#0,"""今回の発見で、その“誰か”について、<br>本格的に調べるときが来たような気がしてる。"""
ssc_508030_0390#0,"""彼らが、過去になにをしようとしてたのか。"""
ssc_508030_0400#0,"""過去になにがあったのか……。"""
ssc_508030_0410#0,"""それを知ることが、これからの僕たちに、<br>必要なことな気がしてるんだ。"""
ssc_508030_0420#0,"""近い将来、ダークファルス以上の脅威が、<br>現れないとも限らない。"""
ssc_508030_0430#0,"""あらゆる可能性に対応するためには、<br>より多くのことを知っておかなくちゃいけない……。"""
ssc_508030_0440#0,"""というわけで……。"""
ssc_508030_0450#0,"""……ああ、ごめんごめん。<br>また、ひとりで突っ走っちゃったね。"""
ssc_508030_0460#0,"""もう少し、いろいろとはっきりさせてから、<br>わかりやすく説明するようにするよ。"""
ssc_508030_0470#0,"""ふぅ……。<br>まずは、さらに手がかりを探さないとね。"""
ssc_508030_0480#0,"""クロフォードや、エアリオの研究者とも、<br>情報交換を進めていくつもり。"""
ssc_508030_0490#0,"""できれば、リテムのほうとも。"""
ssc_508030_0500#0,"""なんか、キミに話したら、<br>頭のなかが整理できた気がする。"""
ssc_508030_0510#0,"""話につき合ってくれてありがとう。"""
ssc_508030_0520#0,"""さっそく、ロッジに戻って、<br>いろいろと書き出してみるよ。"""
ssc_508030_0530#0,"""それじゃ。"""
