text01001#0,"""こんにちは、<%me>さん！<br>ハッピーバレンタインです！"""
11_voice_NPC_5624_104#0,"""……とは言ったものの、じつは<br>なぜこんな服で、ここに立っているのか<br>わからなくて、困ってたんです。"""
text01003#0,"""まあ、考えてても始まらないですね！<br>みんながバレンタインを楽しめるように<br>手伝いたいので、ご協力お願いします！"""
11_voice_NPC_5624_100#0,"""ロビーもいつになく華やかですね！<br>かわいいです！"""
text03001#0,"""あっ、<%me>さん！<br>ご協力、ありがとうございます！"""
text03002#0,"""無理なさらない程度に<br>手伝ってもらえると嬉しいです！"""
11_voice_NPC_5624_104#1,"""あ、この服ですか？<br>女の子っぽい、かわいい格好ですが<br>私には似合わないような気が……"""
11_voice_NPC_5624_106#0,"""え、似合っている……ですか？<br>あああ、褒めてもらおうとしたわけでは<br>なかったんですが、恐縮です！"""
text05001#0,"""お手伝いいただいて<br>本当にありがとうございました！"""
11_voice_NPC_5624_100#1,"""私本人のほうも、きっと今頃<br>頑張っていると思います。"""
text05003#0,"""だから私も、時間が許す限り<br>バレンタインをみんなが楽しめるように<br>引き続き頑張りますね！"""
