name_7400#0,"""デュアドラ"""
ssn_014275_0001#0,"""わかった。説明しよう。"""
ssn_014275_0101#0,"""……ん？<br>クラスがバウンサーじゃないようだね。"""
ssn_014275_0102#0,"""戦い方を学びたければ、“クラスカウンター”で、<br>クラスをバウンサーに変更してきてくれないか。"""
ssn_014275_0103#0,"""あと、バウンサーの“クラススキル”も<br>しっかり覚えてくるように。"""
ssn_014275_0104#0,"""でもまあ、その前にバウンサーについて、<br>話だけはしておこう。"""
ssn_014275_0201#0,"""バウンサーは近距離から中距離の戦いに長けている。"""
ssn_014275_0202#0,"""とりわけ空中での戦闘を得意とし、<br>武器とテクニックを巧みに使いわけて戦うんだ。"""
ssn_014275_0203#0,"""物理ダウンや属性ダウンを誘発して、<br>戦いを有利に進めることもできる。"""
ssn_014275_0204#0,"""あと、他のクラス同様、クラススキルも重要だ。<br>まずは、“エレメンタルディクライン”をマスターするといいだろう。"""
ssn_014275_0205#0,"""とりあえず、課題を出すからやってみてくれ。"""
