name01#0,"""Hilda"""
name01#1,"""ヒルダ"""
11_voice_navi02_118#0,"""เอาล่ะ จากนี้ไปจะเป็นเทคนิคในการต่อสู้จริง<br>เพื่อที่จะได้เปรียบเวลาทำการต่อสู้"""
11_voice_navi02_119#0,"""การป้องกันเป็นการโจมตีที่ดีที่สุด<br>ดังนั้น ก่อนอื่นเรามาเริ่มจากการหลบหลีก<br>การโจมตีของศัตรูกันก่อน"""
11_voice_navi02_120#0,"""ฝึกให้ชิน ดีกว่าเรียนเอาจากตำรา<br>ลองทดสอบหลบหลีกจริงๆ ดูซิ"""
text00#0,"""เกี่ยวกับ [วิธีการหลบหลีก]"""
text01#0,"""Tutorial: อธิบายเกี่ยวกับ [วิธีการหลบหลีก] ของตัวละคร"""
text02#0,"""เมื่อกดปุ่มเคลื่อนที่ทิศทางเดียวกัน 2 ครั้ง<br>ตัวละครก็จะหลบหลีกไปยังทิศทางนั้นๆ<br><br>ท่าทางในการหลบหลีกจะเปลี่ยนไปตามอาวุธที่ตัวละครถืออยู่"""
text03#0,"""เมื่อกด <%Avoid> จะทำให้ตัวละครของท่าน<br>หลบหลีกไปยังทิศทางที่ท่านเคลื่อนที่<br><br>ท่าทางในการหลบหลีกจะเปลี่ยนไปตามอาวุธที่ตัวละครถืออยู่"""
text100#0,"""กดปุ่มเคลื่อนที่ทิศทางเดียวกัน 2 ครั้งเพื่อหลบหลีก!"""
text101#0,"""กด <%Avoid> เพื่อหลบหลีก!"""
text1000#0,"""กดปุ่มเคลื่อนที่ทิศทางเดียวกัน 2 ครั้งเพื่อหลบหลีก!"""
text1001#0,"""กด <%Avoid> เพื่อหลบหลีก!"""
11_voice_navi02_118#1,"""さて、ここからは実戦技術だ。<br>戦闘を有利に運ぶためのものだな。"""
11_voice_navi02_119#1,"""防御は最大の攻撃。<br>まず、エネミーからの攻撃回避方法だ。"""
11_voice_navi02_120#1,"""よし、これも習うより慣れろだ。<br>実際に避けてみせろ。"""
text00#1,"""『回避方法』について"""
text01#1,"""チュートリアル<br>キャラクターの『回避方法』について説明します。"""
text02#1,"""同じ方向の移動キーを２回押すことで、キャラクターが<br>移動方向へ回避を行います。<br><br>装備している武器により、回避アクションは変化します。"""
text03#1,"""<%Avoid>を押すことで、キャラクターが<br>移動方向へ回避を行います。<br><br>装備している武器により、回避アクションは変化します。"""
text100#1,"""移動キーを２回押して回避を行え！"""
text101#1,"""<%Avoid>で回避を行え！"""
text1000#1,"""移動キー２回押して回避を行え！"""
text1001#1,"""<%Avoid>で回避を行え！"""
