text00#0,"""『新世武器』について"""
text10#0,"""『新世武器と旧式武器』について"""
text20#0,"""『新世武器の強化』について"""
text30#0,"""『新世武器の潜在能力解放』について"""
text40#0,"""『新世武器の属性強化』について"""
text50#0,"""『オーバーリミット』について"""
text90#0,"""戻る"""
text14#0,"""戻る"""
Title#0,"""『新世武器と旧式武器』について"""
text01#0,"""武器には、大きく<br>「<c 00ffff>新世武器<c>」と「旧式武器」の<br>二種類があります。<br><br><c 00ffff>新世武器<c>は、EPISODE4で追加された<br>新しい強化システムに対応した武器です。"""
text02#0,"""<c 00ffff>新世武器<c>は、「アイテム詳細」に<br>「強化ＥＸＰ」ゲージが表示されます。<br>また、アイコンの枠が水色になります。<br><br>※武器名の末尾に「-NT」がつくものは<br>\u3000同名の旧式武器を、新世武器化した<br>\u3000ものです。"""
text03#0,"""新世武器は、旧式武器よりも<br>基本性能が高いものが多くなっています。<br><br>色々な新世武器を、エネミードロップや<br>「コレクトファイル」の報酬などで<br>手に入れましょう！"""
Title#1,"""『新世武器の強化』について"""
text01#1,"""「<c 00ffff>新世武器<c>」は<br>アイテムラボで「アイテム強化」すると<br>強くなります。<br><br>好きな新世武器に、素材となる別の武器を<br>いくつも合成して「強化EXP」をためます。<br><br>「強化EXP」ゲージが満タンになると<br>「<yellow>強化値<c>」が上昇し、強くなります。"""
text02#1,"""新世武器は、１回のアイテム強化につき<br>以下のコストが必要です。<br><br><yellow>・素材となる別の武器（最大５個まで）<br>・グラインダーなどの消費アイテム<br>・メセタ<c>"""
text03#1,"""素材にする武器によっては、合成時の<br>「強化EXP」にボーナスがつきます。<br><br><yellow>・素材ボーナス<c><br>\u3000同カテゴリ・レアリティ・名前なら加算。<br><br><yellow>・強化ボーナス<c><br>\u3000強化値＋１以上なら加算。"""
text04#0,"""新世武器を強化すると<br>「成功」または「大成功」が発生します。<br><br>「大成功」すると、通常より多くの<br>強化EXPを得ることができます。<br><br>※新世武器は、強化の「失敗」はありません。"""
text05#0,"""同時に合成する武器の数が多いほど<br>大成功時のボーナスも大きくなります。<br><br>また、「大成功率アップ系」などの<br>「補助アイテム」を合成時に選ぶことで<br>大成功率を上げることもできます。"""
text06#0,"""武器を強化すると、<br><br>「（武器の名前）＋１」<br><br>のように、アイテム名の後ろに<br>強化値が表示されます。"""
Title#2,"""『新世武器の潜在能力解放』について"""
text01#2,"""すべての新世武器は、<br>「<yellow>潜在能力<c>」を秘めています。<br><br>潜在能力とは「特定条件下で威力アップ」<br>などの、武器により異なる能力です。<br><br>新世武器の強化値を、<br><yellow>\u3000「＋１０」→「＋１１」にする時<br>\u3000「＋２０」→「＋２１」にする時<br>\u3000「＋３０」→「＋３１」にする時<c><br>に、この「潜在能力解放」を行います。"""
text02#2,"""潜在能力を解放するには、<br>「フォトンスフィア」などの<br>素材アイテムとメセタが必要です。"""
text03#2,"""潜在能力にはレベルがあり、<br>解放するたびにLv.1～3まで上昇します。<br><br>潜在能力レベルが高いほど、<br>高い効果を得られます。"""
text00#1,"""『新世武器の属性強化』について"""
text01#3,"""新世武器には、<br>「属性」と「属性値」があります。<br><br>「属性」とは「炎や光」などの種類で、<br>「属性値」は、その威力のことです。"""
text02#3,"""「属性値」をアップさせるには、<br>「アイテム強化」の時の素材武器に、<br><br><yellow>・同レアリティ＆カテゴリーの武器<c><br><br>を選択します。"""
text03#3,"""同名の武器を素材にすると、<br><yellow>属性値が大きく上昇<c>します。<br><br>※同名＆同属性だと、さらに上昇します。<br><br>属性値は最大50までですが、<br>レアリティ★13の武器は<br>最大60までアップします。"""
text04#1,"""属性値が高いほど<br>エネミーへのダメージが増加します。<br><br>さらに「属性」が<br>エネミーの「弱点属性」と同じ場合は、<br>より大ダメージを与えられます。<br><br>「属性」は武器の入手時に決まりますが、<br>「補助アイテム」で変更可能です。"""
text00#2,"""『オーバーリミット』について"""
text01#4,"""新世武器の強化値上限は、<br>「＋３０」までです。<br><br>強化値が「＋３０」に達し、<br>潜在能力「Lv.3」を解放すると<br>上限となります。"""
text02#4,"""ただし、強化時の合成素材に<br>「<yellow>同名の武器<c>」を選んだ場合に限り、<br>強化値の上限を最大「＋３５」まで<br>拡張できます。"""
