ra_010620_0010#0,"""關於納貝流士的調查工作<br>好不容易終於獲得許可囉"""
ra_010620_0020#0,"""連細節部分都被仔細審核<br>看來研究工作的正當性已經獲得承認了。<br>雖說因為是特例的緣故，一切必須自行負責。"""
ra_010620_0030#0,"""嗯，反正我本來就只打算到<br>已經清理過的地區，所以不要緊的。"""
ra_010620_0040#0,"""更要緊的是，我非常期待。<br>希望能讓那顆行星的秘密公諸於世......"""
ra_010620_0050#0,"""我一定要找到證據才行。<br>請等待我的好消息。"""
ra_010620_0060#0,"""A.P.238/3/25"""
ra_010620_0010#1,"""ナベリウスの調査について<br>やっと許可が下りましたよ。"""
ra_010620_0020#1,"""細かい部分まで審査されましたが<br>正当性が認められたみたいです。<br>もっとも、特例なので自己責任ですが。"""
ra_010620_0030#1,"""まあ、クリアリングされた場所にだけ<br>行くつもりですから、大丈夫ですよ。"""
ra_010620_0040#1,"""それよりも、楽しみです。<br>あの惑星の秘密を暴くことが……"""
ra_010620_0050#1,"""必ず、何か掴んでみせますよ。<br>待っていてくださいね。"""
ra_010620_0060#1,"""A.P.238/3/25"""
