st_051060_0010#0,"""動きを止めろ！"""
st_051060_0020#0,"""……くっ！"""
st_051060_0030#0,"""手間取らせやがって……！<br>だが、鬼ごっこもここまでだ！"""
st_051060_0040#0,"""生死問わずと聞いている！<br>やれッ！"""
st_051060_0050#0,"""な……ッ！？"""
st_051060_0060#0,"""あまり、甘く見ないでください。<br>これでも多少の心得はあります。"""
st_051060_0070#0,"""ちっ、腐っても王族か……！"""
st_051060_0080#0,"""だが、侮ってんのは<br>お互い様だろ、お姫様よお！"""
st_051060_0090#0,"""召喚陣……！？<br>魔術士が追手だなんて！？"""
st_051060_0100#0,"""くっ！"""
st_051060_0110#0,"""（……やられる！）"""
st_051060_0120#0,"""えっ……！？<br>貴方は、一体……？"""
st_051060_0130#0,"""んだぁ、テメェは！？"""
st_051060_0140#0,"""まぁいい、邪魔するってんなら<br>まとめてブッ殺すだけだァ！"""
st_051060_0150#0,"""まだエフィメラを……！<br>気をつけてください、敵が来ます！"""
st_051060_0160#0,"""いやぁ……たまんねぇな！<br>やっぱ最高だぜ、コレはよ！"""
st_051060_0170#0,"""おらおら召喚獣ども！<br>あのクソ生意気なヤツらを<br>さっさと潰してこい！"""
st_051060_0180#0,"""こうなってしまった以上<br>かの敵を打ち破るしか道はありません。<br>……ご協力、お願いできますか。"""
name01#0,"""兵士"""
name02#0,"""？？？"""
skit01#0,"""The Stranger"""
skit02#0,"""救い伸ばした手の先に"""
