name01#0,"""Astalte"""
11_voice_shop_412#0,"""ท่านสำเร็จทุกเงื่อนไขใน Card ใบนี้แล้ว<br>และนี่คือ Card ใบใหม่ของท่าน"""
text02#0,"""Card ใบนี้จะเกี่ยวกับ<br>การเรียกใช้ SupportPartner"""
text03#0,"""และภารกิจแรกก็คือ การไปรับ <br>ClientOrder <c bb0000>[Support Partner Seminar]<c><br>และทำให้สำเร็จ"""
text04#0,"""ท่านสามารถไปรับภารกิจได้กับ Cofy <br>ที่อยู่ตรง QuestCounter"""
text05#0,"""แต่ ClientOrder นี้<br>ท่านจะสามารถรับได้เมื่อมี Lv. <br>เท่ากับ 20 หรือมากกว่าเท่านั้น"""
text06#0,"""ก่อนไปรับภารกิจกรุณาตรวจสอบ<br>ข้อมูลของตัวท่านให้แน่ใจเสียก่อน"""
text07#0,"""และเมื่อท่านสามารถดำเนินภารกิจ<br>ได้จนสำเร็จลุล่วง ท่านก็จะได้รับการ<br>ประทับตราบน StampCard"""
text08#0,"""ถ้าเช่นนั้นก็พยายามเข้านะ"""
name01#1,"""アスタルテ"""
11_voice_shop_412#1,"""カードの取得条件を満たしていますね。<br>では、こちらが新しいカードです。"""
text02#1,"""サポートパートナーの運用に関する<br>カードとなります。"""
text03#1,"""最初の目標は、クライアントオーダー<br><c bb0000>「サポートパートナー講習」<c>を<br>受注し、達成することです。"""
text04#1,"""クエストカウンターにいるコフィーから<br>該当のオーダーを受注<br>達成してください。"""
text05#1,"""ただし、このクライアントオーダーの<br>受注には、クラスレベル２０以上という<br>条件があります。"""
text06#1,"""まずその条件を満たしているかの<br>確認をお願いします。"""
text07#1,"""なお、すでに目標達成済みでしたら<br>引き続いてスタンプを押させて<br>もらいます。よろしくお願いします。"""
text08#1,"""それでは、頑張って下さい。"""
