Title#0,"""T:砂都に迫りし女王の悪夢"""
Explanation#0,"""緊急通達です！<br>異世界オメガにて、より強力な<br>【若人】の反応を探知しました！<br>極めて危険であることが予測されるため<br>出撃は実績あるアークスのみに限定します！<br>――――――――――――――――――――<br>失敗条件/制限時間の経過"""
SimpleExplanation#0,"""【若人】を撃退せよ！"""
NpcComMsg1#0,"""これより、再出現した<br>ダークファルス・アプレンティスの<br>撃退作戦を開始します。"""
NpcComMsg2#0,"""目標はすでに完全体となって飛翔<br>エピック王都に向かっています。<br>この作戦で確実に撃退してください。"""
Area0S#0,"""異世界オメガ\u3000エピック砂漠"""
Area0L#0,"""異世界オメガ\u3000エピック砂漠"""
a1#0,"""特定のクライアントオーダーのクリア"""
a2#0,"""特定のクライアントオーダーのクリア"""
a3#0,"""スーパーハード受注許可証の所持"""
a4#0,"""スーパーハード受注許可証の所持"""
a5#0,"""スーパーハード受注許可証の所持"""
