un_011090_0010#0,"""อ๊ะ สวัสดี<br>ฮะๆ วันนี้สดชื่นนิดหน่อยนะ<br>รู้สึกมีพลังเหลือเฟือเลยล่ะ"""
un_011090_0020#0,"""ตอนนี้ข้าเริ่มแกล้งทำเป็นต่อสู้<br>ได้ดีขึ้นแล้วล่ะ"""
un_011090_0030#0,"""มันก็ไม่แย่เท่าไรนะ<br>ข้าทำตามขั้นต่ำที่พวกเขาต้องการ<br>แล้วก็ทำตามที่สั่งเท่านั้น"""
un_011090_0040#0,"""คนที่คลั่งไคล้การต่อสู้แบบท่านคงไม่ชอบข้า<br>ที่พูดอะไรแบบนี้ออกมา แต่ข้าก็เป็นแบบนี้แหละ"""
un_011090_0050#0,"""ข้าทำอย่างอื่นนอกเหนือจากนี้ไม่ได้<br>เพราะงั้นข้าก็ต้องทนต่อไปแบบนี้ล่ะนะ"""
un_011090_0060#0,"""ไม่ใช่เพราะมันสนุกหรือตื้นเต้นหรอกนะ<br>มันคือหน้าที่นี่นา"""
un_011090_0070#0,"""ฮะๆๆ...... ข้าเดาได้เลยว่าถ้าเธอ<br>ได้ยินที่ข้าพูดคงต้องควันออกหู<br>แล้วมาบอกให้ข้าจริงจังกว่านี้แน่"""
un_011090_0080#0,"""....แต่มันก็ช่วยไม่ได้นี่นา<br>เพราะคนที่มีความสามารถ<br>ใช่ว่าจะมีบุคลิกที่เหมาะสมนี่นา"""
un_011090_0090#0,"""A.P.238/3/13"""
un_011090_0010#1,"""あ、こんにちは。<br>ふふっ、今日はちょっと元気ですよ。<br>余力が残っている感じです。"""
un_011090_0020#1,"""なにぶん、戦っているふりをするのが<br>上手くなってきましたから……"""
un_011090_0030#1,"""必要最低限といいますか<br>求められたこと以外はしないように<br>するだけで、楽になってきました。"""
un_011090_0040#1,"""こんなこと、真面目にやっている人に<br>言うとすごく怒られそうですけどね……<br>でも、ぼくはそういう性格ですから。"""
un_011090_0050#1,"""アークス以外のことが出来ない以上<br>アークスの中でできる最低限を<br>粛々とこなしていく……"""
un_011090_0060#1,"""楽しいとかそういうの？<br>微塵もないですよ。<br>これは、任務ですから。"""
un_011090_0070#1,"""ふふ……彼女にこんなこと言ったら<br>めちゃくちゃ怒られそうですけどね。<br>もっと真面目にやれー！って。"""
un_011090_0080#1,"""……まあ、そんなこと言われても<br>才能以上に、性格の向き不向きが<br>あるんだから、仕方ないですよ……"""
un_011090_0090#1,"""A.P.238/3/13"""
