name01#0,"""เกี่ยวกับ Symbol Art"""
name01#1,"""シンボルアートについて"""
text01#0,"""<yellow>[เกี่ยวกับ Symbol Art]<c><br><br>ฟังก์ชั่นที่ใช้สร้างภาพ Symbol Art จากการนำรูปต่างๆ มาประกอบกัน<br>ภาพที่สำเร็จออกมา จะสามารถนำไปแปะเวลาพูดคุยกัน <br>หรือนำไปตั้งเป็น ARKS ID ของตัวเองก็ได้<br><br>หน้าต่อไปจะอธิบายเกี่ยวกับเมนูลัดเพื่อความสะดวกสำหรับการ<br> [สร้าง Symbol Art] ที่มีลักษณะเฉพาะไม่เหมือนใคร<br><br>สามารถตรวจสอบรายละเอียดที่ Online Manual ประกอบได้<br>โดยการคลิกที่ URL ด้านล่างเพื่อเปิดไปยังหน้าเพจดังกล่าว<br> <&URL pso2_players_manual_communication_symbolart>"""
text02#0,"""<yellow>[วิธีการสร้าง Symbol Art]<c><br><br> 1. ให้เข้าไปที่ [รายการบันทึก] ใน [รายการ Symbol Art] แล้วเลือก <br> Symbol Art จากที่ยังว่างหรือบันทึกแล้ว และเลือก [แก้ไข]<br><br> 2. เปิดหน้าต่าง [สร้าง Symbol Art] <br> จากนั้นกดปุ่ม [เพิ่ม Part] และทำการเลือก Part<br><br> 3. เลือก Part ที่เพิ่มเข้ามาจากรายชื่อ Part ทางด้านซ้ายของหน้าจอ <br> และเลือก [เคลื่อนที่] [ขนาด] [หมุน] [สี]  เพื่อแก้ไข<br><br> 4. เมื่อเสร็จแล้ว ให้กดเซฟด้วยปุ่ม [บันทึก] เป็นอันเสร็จ"""
text03#0,"""<yellow>[เมนูลัดเพื่อความสะดวก](1/3)<c><br><br> <green>*ปุ่มต่างๆ ที่กล่าวจะอยู่ในสภาพตามค่าตั้้งต้น<br> *สามารถใช้ Gamepad บังคับได้เช่นกัน<c><br><br> - ย่อขยายขนาดผ้าใบ (พื้นที่วาด)<br>  <yellow>หมุนล้อเม้าส์<c>, <yellow>กด [Shift]+[<lt>]<c> / <yellow>กด [Shift]+[<gt>]<c><br><br> - ย้อนกลับและทำซ้ำ (UNDO, REDO)<br>  <yellow>กด [Ctrl]+[Z]<c> / <yellow>กด [Ctrl]+[Y]<c>"""
text04#0,"""<yellow>[เมนูลัดเพื่อความสะดวก](2/3)<c><br><br> - การควบคุม Part ระหว่างเลือก<br><br>คัดลอก:<yellow>[Ctrl]+[C]<c><br>ตัด:<yellow>[Ctrl]+[X]<c><br>วาง:<yellow>[Ctrl]+[V]<c><br><br>ลบทิ้ง:<yellow>[Delete]<c><br>ทำซ้ำ:<yellow>[Ctrl]+[D]<c><br><br><c 00a0a0>*คำสั่งทำซ้ำจะคัดลอกและวางรูปในการทำงานครั้งเดียว<c>"""
text05#0,"""<yellow>[เมนูลัดเพื่อความสะดวก](3/3)<c><br><br> - ฟังก์ชั่นเมื่อกด <yellow>[Shift]<c> ค้างขณะควบคุม Part<br><br>ขณะเคลื่อนย้าย: จะทำให้เคลื่อนไปทางแนวนอนหรือแนวตั้ง<br>ขณะย่อขยาย: จะล็อคค่า Aspect เอาไว้<br>ขณะหมุนภาพ: จะล็อคให้หมุนภาพที่ 45 องศา<br><br>- สลับตำแหน่ง Part<br><br>เคลื่อนขึ้นข้างบน: <yellow>[Ctrl]+[W]<c>,<yellow>[-]<c><br>เคลื่อนลงข้างล่าง: <yellow>[Ctrl]+[Q]<c>,<yellow>[+]<c>"""
text06#0,"""<yellow>[ฟังก์ชั่นอื่นๆ ]<c><br><br> - เมื่อกด <yellow>[Ctrl]+[S]<c> จะสามารถบันทึกได้<br> - สามารถเลือกเสียงเอฟเฟกต์ได้จากรายชื่อของสัญลักษณ์โน๊ตเพลง<br> - สามารถใช้ Part พร้อมกันได้ถึง 225 แบบ <br><br> - ในกรณีที่ระหว่างย้ายพื้นที่เกิดสะดุด <br> ระบบจะทำ<yellow>[บันทึกข้อมูลชั่วคราว]<c> ให้อัตโนมัติ <br> เมื่อทำการเปิด [Symbol Art] ขึ้นอีกครั้ง ทุกอย่างก็จะกลับมาเป็นปกติ<br><br>ส่วน [บันทึกข้อมูลชั่วคราว] จะหายไปทันทีเมื่อออกจากเกม <br>ดังนั้นเมื่อระบบกลับมาเป็นปกติแล้ว ขอให้กรุณา [บันทึก] เอาไว้ด้วย"""
text01#1,"""<yellow>【シンボルアートについて】<c><br><br>\u3000パーツを組み合わせて、イラストを作成する機能です。<br>\u3000作成したイラストは、チャットに貼り付けて発言したり、<br>\u3000自分のアークスカードに設定したりできます。<br><br>\u3000「シンボルアート編集」独自の便利な操作について、<br>\u3000次のページ以降でご説明いたします。<br><br>\u3000あわせて、オンラインマニュアルをご確認ください。<br>\u3000以下のURLをクリック（決定）すると、ブラウザーで開きます。<br>\u3000<&URL pso2_players_manual_communication_symbolart>"""
text02#1,"""<yellow>【シンボルアートの作成方法】<c><br><br>\u30001. 「シンボルアートリスト」の「保存リスト」で<br>\u3000\u3000\u3000空欄または保存済みのシンボルアートを選んで「編集」<br><br>\u30002. 「シンボルアート編集」ウィンドウが開いたら、<br>\u3000\u3000 「パーツ追加」ボタンを押して、パーツを選ぶ<br><br>\u30003. 画面左のパーツリストから、追加したパーツを選んで<br>\u3000\u3000 「移動」「サイズ」「回転」「カラー」などを編集<br><br>\u30004. 完成したら、「上書き保存」ボタンで保存して終了"""
text03#1,"""<yellow>【便利な操作】(1/3)<c><br><br>\u3000<green>※キー表記は、初期設定での状態です。<br>\u3000※ゲームパッドでも対応するボタンで実行できます。<c><br><br>\u3000・カンバス（描画エリア）の拡大縮小<br>\u3000\u3000<yellow>マウスホイール回転<c>、<yellow>[Shift]+[<lt>]キー<c> / <yellow>[Shift]+[<gt>]キー<c><br><br>\u3000・操作の取り消しとやり直し（UNDO、REDO）<br>\u3000\u3000<yellow>[Ctrl]+[Z]キー<c> / <yellow>[Ctrl]+[Y]キー<c>"""
text04#1,"""<yellow>【便利な操作】(2/3)<c><br><br>\u3000・選択中のパーツの編集操作<br><br>\u3000\u3000コピー ：<yellow>[Ctrl]+[C]キー<c><br>\u3000\u3000カット ：<yellow>[Ctrl]+[X]キー<c><br>\u3000\u3000ペースト ：<yellow>[Ctrl]+[V]キー<c><br><br>\u3000\u3000削除：<yellow>[Delete]キー<c><br>\u3000\u3000複製：<yellow>[Ctrl]+[D]キー<c><br><br>\u3000\u3000<c 00a0a0>※複製……パーツを1操作でコピー＆ペースト<c>"""
text05#1,"""<yellow>【便利な操作】(3/3)<c><br><br>\u3000・パーツの操作中に <yellow>[Shift]キー<c> を押した時の機能<br><br>\u3000\u3000移動中： 水平か垂直に移動軸を固定する<br>\u3000\u3000拡縮中： 縦横比率を固定する<br>\u3000\u3000回転中： 45度単位で回転する<br><br>\u3000・パーツの並べ替え（表示優先度の変更）<br><br>\u3000\u3000上に移動： <yellow>[Ctrl]+[W]キー<c>、<yellow>[-]キー<c><br>\u3000\u3000下に移動： <yellow>[Ctrl]+[Q]キー<c>、<yellow>[+]キー<c>"""
text06#1,"""<yellow>【その他の機能】<c><br><br>\u3000・<yellow>[Ctrl]+[S]キー<c>で、上書き保存ができます。<br>\u3000・「♪」マーク横のリストから、効果音を選べます。<br>\u3000・同時に使用できる最大パーツ数は、225までです。<br><br>\u3000・編集中にエリア移動などで不慮の中断が行われた場合、<br>\u3000\u3000自動的に<yellow>「下書きデータ」<c>として編集内容が保存され、<br>\u3000\u3000次に「シンボルアート」を開くと自動的に復元します。<br><br>\u3000\u3000「下書きデータ」はゲームを終了すると消えてしまい<br>\u3000\u3000ますので、復元したら通常通り「保存」してください。"""
