Window_Titletelop_Exchange_General#0,"""アイテム交換ショップ"""
Window_TwolineGuide_Exchange_General#0,"""<c f0df60>ショップを選んでください。<c>"""
Window_Titletelop_Exchange#0,"""アイテム交換"""
Window_TwolineGuide_Exchange#0,"""<c f0df60>特定のアイテムを、リストから別のアイテムと交換します。<c>"""
Window_Controlguide#0,"""<%Decide>：決定\u3000<%Cancel>：キャンセル\u3000<%ChangeCtrlWindowForward>：操作ウィンドウ切り替え"""
Window_Exchange_Itemselection#0,"""交換アイテム選択"""
Window_Material_Itemselection#0,"""納品アイテム選択"""
Window_Target_Itemselection#0,"""対象アイテム選択"""
Window_Exchange_Quantity#0,"""交換内容の確認"""
Mes_Exchange_Quantity#0,"""以下のアイテムと<br><yellow>($ExchangeItem)<c>を交換します。<br>交換する個数を選択してください。<br><br><yellow>※従来のメニューで交換したい場合は、<c><br>\u3000<%Function><yellow>で表示が切り替えられます。<c>"""
Mes_Exchange_Quantity2#0,"""以下のアイテムと<br><yellow>($ExchangeItem) ($(0)個)<c>を交換します。<br>交換する個数を選択してください。<br><br><yellow>※従来のメニューで交換したい場合は、<c><br>\u3000<%Function><yellow>で表示が切り替えられます。<c>"""
Window_Target_Itemlist#0,"""対象アイテムリスト"""
Window_Target_Itemlist_ExchangePattern#0,"""<%MultiSelect> 交換パターン"""
Window_ExchangeCandidate_Itemlist#0,"""交換候補アイテムリスト"""
Label_Item_Name#0,"""アイテム名"""
Label_Required_Number#0,"""必要数"""
Label_Possession_Number#0,"""所持数"""
Label_Exchange_Number#0,"""納品数"""
Window_Special_Ability_Transfer#0,"""特殊能力引継ぎ"""
Content_Special_Ability_Transfer#0,"""特殊能力引継ぎの内容"""
Content_Iteminfo_Capacity#0,"""交換後の$(0)の容量"""
Button_Exchange#0,"""交換する"""
Button_Item_Search#0,"""対象アイテムをマイショップで検索する"""
Window_Want_Item#0,"""交換アイテム"""
Window_Item_Exchange#0,"""アイテム交換"""
Mes_Item_Unequipped#0,"""以下のアイテムが<yellow>装備中<c>です。<br>装備状態を解除しますが、よろしいですか？"""
Mes_Item_Unlock#0,"""以下のアイテムが<yellow>ロック中<c>です。<br>ロックを解除しますが、よろしいですか？"""
Mes_Item_Unequipped_Unlock#0,"""以下のアイテムが<yellow>装備中・ロック中<c>です。<br>各状態を解除しますが、よろしいですか？"""
Label_Unequipped#0,"""装備中"""
Label_Unlock#0,"""ロック中"""
Label_NoItem#0,"""対象のアイテムがありません"""
Mes_Exchange_Start#0,"""$(0)×$(1)と<br>以下のアイテムを交換します。<br>よろしいですか？"""
Mes_Exchange_Start2#0,"""$(0) ($(1)個)×$(2)と<br>以下のアイテムを交換します。<br>よろしいですか？"""
Mes_Exchange_Completed#0,"""アイテムを交換しました"""
Window_Get_Method#0,"""アイテム入手方法"""
Label_Recommended_TaskList#0,"""推奨タスク一覧"""
Label_Myshop_History#0,"""マイショップ購入履歴"""
Button_Myshop_Search#0,"""マイショップで検索する"""
Label_Strengthening_Value#0,"""強化値"""
Label_Quantity#0,"""数量"""
Label_Price#0,"""価格"""
Window_Titletelop_Recycle#0,"""アイテムリサイクル"""
Window_Titletelop_MangaMemory#0,"""『PSO2』マンガメモリ交換"""
Window_Titletelop_AdvanceCorps#0,"""遠征準備特別票交換（$(0)まで）"""
Window_Titletelop_KvarisItem#0,"""アイテム交換：クヴァリス"""
Window_Titletelop_StiaItem#0,"""アイテム交換：スティア"""
Window_Titletelop_Ages#0,"""エイジスインテグラ交換"""
Window_Titletelop_Ranking#0,"""アークスレコードバッヂ交換"""
Window_Titletelop_Slayer#0,"""スレイヤー運用準備特別票交換（$(0)まで）"""
