st_063100_0100#0,"""好好接受自己傲慢的懲罰吧。"""
st_063100_0110#0,"""啊、禍津神。<br>請聽從在此的灰之神子的聲音。<br>我們的敵人、就在眼前！"""
st_063100_0120#0,"""少名比売！"""
st_063100_0130#0,"""不用擔心、你們兩個！<br>原本、我和禍津就是<br>星球意志的兩個部分！"""
st_063100_0140#0,"""此時此刻、沒有善惡之分！<br>神只會注視著憤怒的矛頭！<br>那就是那些傢伙！"""
st_063100_0150#0,"""守護星球是我的任務！<br>禍津、你的憤怒<br>隨心所欲地發洩吧！"""
st_063100_0160#0,"""嘁。"""
st_063100_0170#0,"""剛才的岩石被破壞<br>是為了解放這個神嗎……<br>被巧妙地利用了呢。"""
st_063100_0180#0,"""嘁！"""
st_063100_0190#0,"""……但是<br>我也被小看了。"""
st_063100_0200#0,"""區區一尊神<br>就能按住我嗎？"""
st_063100_0210#0,"""啊！？"""
st_063100_0220#0,"""呼！"""
st_063100_0230#0,"""唔！<br>……但是、現在已經沒有逃避的地方了！"""
st_063100_0260#0,"""呐！<br>咦！"""
st_063100_0270#0,"""我不是說了沒用嗎。"""
st_063100_0280#0,"""我是支配這個宇宙的人。<br>即使是星球的神也像芥子一樣<br>能觸碰到我嗎？"""
st_063100_0290#0,"""汝之不敬、当為万死。"""
st_063100_0300#0,"""嗚……！"""
st_063100_0310#0,"""雖然是很不錯的玩具、但也僅此而已。<br>現在請你們也一起消失吧。"""
st_063100_0320#0,"""少名比売！"""
st_063100_0330#0,"""呵……呵呵呵呵……！"""
st_063100_0340#0,"""事到如今、竟然笑了起來<br>……你瘋了嗎？"""
st_063100_0350#0,"""哎呀、神被人瞧不起啊<br>一想到這裏、我就笑了起來。"""
st_063100_0360#0,"""你的力量、禍津已銘刻於身！<br>以其身、銘刻靈魂！<br>……正是如此！"""
st_063100_0370#0,"""沒錯、就是現在！"""
st_063100_0380#0,"""御意！"""
st_063100_0390#0,"""以受到的力量為觸媒……<br>現在在此、発動結灰陣！<br>聚集吧灰燼、維護此方安寧……！"""
st_063100_0400#0,"""不好的感覺！"""
st_063100_0410#0,"""什么！？"""
st_063100_0420#0,"""和我……勢均力敵！？<br>不……這是、我的力量在減弱！？"""
st_063100_0430#0,"""說得沒錯、你這混蛋！<br>在這裏發動結灰陣<br>無非是爲了封印你的力量！"""
st_063100_0440#0,"""你輕蔑我只是一顆星球……<br>但神的力量也不要小看、小鬼！"""
st_063100_0450#0,"""……原來如此。<br>我承認我小看你了。<br>這種力量、會成爲我們實現目標的障礙。"""
st_063100_0460#0,"""所以……就在這裏親手把你碾碎！"""
st_063100_0470#0,"""我不會讓你這麼做的！"""
st_063100_0480#0,"""到此結束！"""
