name_7002#0,"""アイナ"""
name_7022#0,"""カヌイ"""
name_7034#0,"""ルーシア"""
msn_041150_0010#0,"""ようこそ。<br>クロフォード君から、あなた方が来るという連絡を受けていました。"""
msn_041150_0020#0,"""そちらにいるのが、ルーシアさん……でしょうか。<br>初めまして。私はスティア先遣隊の副官、カヌイと申します。"""
msn_041150_0030#0,"""このスティアの地が、<br>あなたの記憶を探す助けになればと願っています。"""
msn_041150_0040#0,"""うん……ありがとう。"""
msn_041150_0050#0,"""グレンに会いに来た。"""
msn_041150_0060#0,"""カヌイに会いに来た。"""
msn_041150_0070#0,"""すみませんが、隊長は今、偵察に出ています。<br>近頃はドールズの活動が活発になっていて、状況を確認したいと。"""
msn_041150_0080#0,"""ふふ、それは光栄ですが、本当はグレン隊長に会いに来たのでしょう？"""
msn_041150_0090#0,"""隊長は今、偵察任務中です。<br>ドールズの活動が活発になっていて、状況を確認してくると。"""
msn_041150_0100#0,"""よろしければ、ご案内しましょうか。<br>隊長が向かった場所まで、それほど遠くはありませんから。"""
msn_041150_0110#0,"""ありがとう！\u3000カヌイと一緒なら、心強いよ。"""
