ar_or018100#0,"""No.1<br>完成萬象盤「為了迎接這一天」<br>E-4"""
ar_or018101#0,"""No.2<br>與「錫安」見面"""
ar_or018102#0,"""No.3<br>任務<br>「一直等待著明天」<br>完成第一章"""
ar_or018103#0,"""No.4<br>與「錫安」見面"""
ar_or018104#0,"""No.5<br>完成萬象盤「等待明天」<br>E-3"""
ar_or018100#1,"""No.1<br>マターボード「この日を迎えるため」<br>E-4の達成"""
ar_or018101#1,"""No.2<br>「シオン」に会う"""
ar_or018102#1,"""No.3<br>クエスト<br>「ずっと明日を待っていた」<br>第一章をクリア"""
ar_or018103#1,"""No.4<br>「シオン」に会う"""
ar_or018104#1,"""No.5<br>マターボード「明日を待つ」<br>E-3の達成"""
ar_or018100#2,"""萬象盤「為了迎接這一天」E-4"""
ar_or018101#2,"""與錫安見面"""
ar_or018102#2,"""一直等待著明天"""
ar_or018103#2,"""與錫安見面"""
ar_or018104#2,"""萬象盤「等待明天」E-3"""
ar_or018100#3,"""マターボード「この日を迎えるため」E-4"""
ar_or018101#3,"""シオンに会う"""
ar_or018102#3,"""ずっと明日を待っていた"""
ar_or018103#3,"""シオンに会う"""
ar_or018104#3,"""マターボード「明日を待つ」E-3"""
