text100#0,"""Client Order"""
text101#0,"""Lavere  ออก Client Order<br><br>Lavere ที่บริเวณประตูทางตะวันออกของ Quest Counter"""
tutorial01#0,"""ปรากฏ Client Order Request จาก Marlu<br><br>Marlu อยู่ที่ GateArea - CenterHall"""
tutorial02#0,"""ปรากฏ Client Order Request จาก Oza<br><br>Oza อยู่ที่ GateArea - CenterHall"""
tutorial03#0,"""ปรากฏ Client Order Request จาก Risa<br><br>Risa อยู่ที่ GateArea - CenterHall"""
tutorial04#0,"""ปรากฏ Client Order Request จาก Azanami<br><br>Azanami อยู่ที่ GateArea - CenterHall"""
tutorial05#0,"""ปรากฏ Client Order Request จาก Jan<br><br>Jan อยู่ที่ ShoppingArea - SouthOuterPass"""
tutorial06#0,"""ปรากฏ Client Order Request จาก Lola<br><br>Lola อยู่ที่ GateArea - MedicalCenter"""
text100#1,"""『クライアントオーダー』について"""
text101#1,"""ラヴェールにクライアントオーダーが発生しました。<br><br>ラヴェールはゲートエリア・東クエストカウンター前にいます。"""
tutorial01#1,"""マールーにクライアントオーダーが発生しました。<br><br>マールーはゲートエリア・中央ホールにいます。"""
tutorial02#1,"""オーザにクライアントオーダーが発生しました。<br><br>オーザはゲートエリア・中央ホールにいます。"""
tutorial03#1,"""リサにクライアントオーダーが発生しました。<br><br>リサはゲートエリア・中央ホールにいます。"""
tutorial04#1,"""アザナミにクライアントオーダーが発生しました。<br><br>アザナミはゲートエリア・中央ホールにいます。"""
tutorial05#1,"""ジャンにクライアントオーダーが発生しました。<br><br>ジャンはショップエリア・南外周通路にいます。"""
tutorial06#1,"""ローラにクライアントオーダーが発生しました。<br><br>ローラはゲートエリア・メディカルセンターにいます。"""
