ra_013020_0010#0,"""......ว่ายังไง<br>มีธุระอะไรกับชั้นรึ?"""
ra_013020_0020#0,"""ชั้นกำลังเปลี่ยนสภาพ?<br>พวกชั้นไม่น่าเกี่ยวข้องกับการเปลี่ยนสภาพ<br>แล้วนี่จะบอกว่าชั้นกำลังเปลี่ยนสภาพ?"""
ra_013020_0030#0,"""อยากจะให้ช่วยรอซักนิด<br>ชั้นอยากจะวิเคราะห์อย่างละเอียดดู<br>............อืม"""
ra_013020_0040#0,"""ยืนยันการเปลี่ยนสภาพที่เด่น ๆ ไม่ได้<br>......ทว่าการเปลี่ยนสภาพเล็กน้อยที่แปลง<br>เป็นค่าตัวเลขไม่ได้นี่สามารถมองเห็นได้สินะ"""
ra_013020_0050#0,"""นี่คงจะเป็นวิธีอธิบายที่ทำให้<br>เข้าใจได้ง่ายที่สุด"""
ra_013020_0060#0,"""ดูเหมือนว่าชั้นกำลังเปลี่ยนสภาพ<br>ไปอยู่ในรูปร่างที่ทำให้เข้าใจได้ง่าย<br>ยิ่งกว่าการส่งผ่านข้อมูลที่ถูกต้อง"""
ra_013020_0070#0,"""ทว่าชั้นกับพวกชั้นก็ไม่มีร่องรอย<br>ที่แสดงถึงการน่าจะเปลี่ยนสภาพเลย"""
ra_013020_0080#0,"""นี่เป็นผลสะท้อนจากที่ไหนอย่างนั้นรึ<br>หรือไม่แน่ว่ามันอาจจะเป็นการเริ่มรู้สึกถึง<br>อะไรบางอย่าง"""
ra_013020_0090#0,"""ฮุฮุ...... แหม ขอโทษที่เสียมารยาท<br>ท่าทางนี่ก็คงจะเป็นเหตุผลที่ไม่ชัดเจนอีกหนึ่งอัน"""
ra_013020_0100#0,"""สำหรับชั้นและพวกชั้นแล้ว<br>เรื่องที่ไม่รู้มันก็เหมือนกับเป็น<br>ความรู้สึกที่สดใหม่และหอมหวาน"""
ra_013020_0110#0,"""งั้นรึ เพราะว่าสามารถจดจำความรู้สึกเช่นนี้ได้<br>มนุษย์ถึงสามารถแตกหน่อจิตใจแห่งการใฝ่รู้ได้สินะ"""
ra_013020_0120#0,"""......ต้องขอขอบใจพวกท่านจริงๆ<br>เพราะพวกท่านชั้นกับพวกชั้นจึงสามารถค้นพบ<br>ความเป็นไปได้เพิ่มขึ้นอีกหนึ่งอย่างแล้ว"""
ra_013020_0130#0,"""แม้ว่าพวกท่านอาจจะไม่เข้าใจ<br>แต่ก็ขอเพียงแค่ให้รับคำขอบคุณนี้เอาไว้<br>เท่านั้นก็พอ เท่านั้นก็เพียงพอแล้ว"""
ra_013020_0010#1,"""……どうした。<br>わたしに何か用向きでもあるのか？"""
ra_013020_0020#1,"""わたしが、変化している？<br>わたしたちは変化と無縁のはずだが<br>わたしが変わってきていると？"""
ra_013020_0030#1,"""しばし待ってほしい。<br>客観判断による分析を行いたい。<br>…………ふむ。"""
ra_013020_0040#1,"""優位的な変化は確認されず。<br>……しかし、数値化できない箇所に<br>細やかな変化が見られる、か。"""
ra_013020_0050#1,"""一番わかりやすいところは<br>言い回し、だろうか。"""
ra_013020_0060#1,"""正確な伝達よりも優先して<br>相手の理解を促す形に<br>変化しているようだ。"""
ra_013020_0070#1,"""だが、わたしとわたしたちに<br>変化を促したような形跡はない。"""
ra_013020_0080#1,"""どこかからのフィードバックか<br>はたまた、何か感じ始めているのか。"""
ra_013020_0090#1,"""ふふ……いや、失礼した。<br>これもまた仔細は不明となるのだな。"""
ra_013020_0100#1,"""わたしとわたしたちにとって<br>わからない、ということは<br>新鮮な感覚だ。甘美ですらある。"""
ra_013020_0110#1,"""そうか、この感覚を覚えるからこそ<br>人は探究心を芽生えさせるのだな。"""
ra_013020_0120#1,"""……貴方達に感謝を。<br>わたしとわたしたちはまたひとつ<br>新たな可能性を見いだしたのだ。"""
ra_013020_0130#1,"""理解できないのであれば<br>ただ、感謝を受け取ってくれれば<br>それでいい。それで十分だ。"""
