name_7224#0,"""希特蕾|シトレー"""
ssn_019070_002_0001#0,"""謝謝你肯過來。<br>我再自我介紹下吧。"""
ssn_019070_002_0002#0,"""我叫希特蕾。所屬於中央都市的補給隊，<br>現在負責物資管理，還有戰鬥支援之類的工作。"""
ssn_019070_002_0003#0,"""最近這段時間，不是偵測到了比過去還要強力的敵人嘛？<br>負傷者也多了不少，聽說衛生隊那邊也忙得不可開交。"""
ssn_019070_002_0004#0,"""所以呢，我目前就在給大家提供武器強化的建議，<br>好讓各位ARKS也能有足夠的實力與強敵作戰。"""
ssn_019070_002_0005#0,"""雖然這可能有點多管閒事，<br>但能不能拜託你也來參加一下這項目？"""
ssn_019070_002_0006#0,"""首先是要籌集強化用的資金。<br>靠收集阿爾法動力爐會簡單些，所以我比較推薦哦。"""
ssn_019070_002_0007#0,"""把艾亞利奧滿地搜個遍，肯定是能找到的。"""
ssn_019070_002_0008#0,"""那就加油吧！"""
ssn_019070_002_0009#0,"""呀，你最近如何？<br>我這邊還是在忙運輸路線的確保工作。"""
ssn_019070_002_0010#0,"""你回來啦！<br>雖說靠著至今為止收集到的東西，也能強化武器……"""
ssn_019070_002_0011#0,"""不過，你知道這種名為“膠囊仔”的敵人嗎？"""
ssn_019070_002_0012#0,"""它們與最近增加的強力敵人不是同一種，<br>好像它們既不屬於DOLLS，也不屬於異變種。"""
ssn_019070_002_0013#0,"""……不過這方面的詳細調查<br>還是交給香蒂還有蘭她們來做吧……"""
ssn_019070_002_0014#0,"""但總之，這些膠囊仔會到處播撒一些<br>提升裝備的性能不可或缺的膠囊。"""
ssn_019070_002_0015#0,"""……雖說這敵人是謎團重重，<br>但對我們而言，這也算是件好事。"""
ssn_019070_002_0016#0,"""所以呢，我就想讓你去找一找它。"""
ssn_019070_002_0017#0,"""也是為了方便你強化裝備嘛。"""
ssn_019070_002_0018#0,"""啊，你回來啦！"""
ssn_019070_002_0019#0,"""這下強化的準備就都做好了。<br>剩下的，只需要去道具實驗室就行了。"""
ssn_019070_002_0020#0,"""要強化哪把武器，以及要如何強化，<br>就都交由你來判斷了。"""
ssn_019070_002_0021#0,"""要是你能用上這把武器，<br>在之後繼續幫我們討伐敵人，那我就太開心了。"""
ssn_019070_002_0022#0,"""好啦！本次的項目就此結束。<br>不過這對你而言，可能也有點馬後炮就是了……"""
ssn_019070_002_0023#0,"""我就送你點謝禮，感謝下你的參與吧。"""
ssn_019070_002_0024#0,"""還有，要是你的夥伴也在武器強化上感到為難，<br>你可以靠著這次的經驗，給他提提建議哦，我會很開心的。"""
ssn_019070_002_0025#0,"""那今後也拜託你啦！"""
ssn_019070_002_0026#0,"""補給可是戰鬥的生命線！<br>就算敵人又變強了點，我們也是不會屈服的。"""
ssn_019070_002_0027#0,"""你也要繼續鍛煉身心和裝備哦，<br>加油！"""
npc_menu_0001#0,"""使用票券交換（<utcymdt>2022-6/8/2:00</utcymdt>為止）"""
npc_menu_0002#0,"""使用季節點數交換（<utcymdt>2022-6/8/2:00</utcymdt>為止）"""
npc_menu_0003#0,"""詢問關於季節活動的信息"""
npc_menu_0004#0,"""關閉菜單"""
npc_menu_0005#0,"""關於“季節活動”"""
npc_menu_0006#0,"""關於“季節活動角色”"""
npc_menu_0007#0,"""關於“每日／每週委託”"""
npc_menu_0008#0,"""關於“搗蛋標誌”"""
npc_menu_0009#0,"""關於“季節採集”"""
npc_menu_0010#0,"""關於“季節地區瑪古”"""
npc_menu_0011#0,"""關於“季節型敵人”"""
npc_menu_0012#0,"""關於“世界試煉”"""
npc_menu_0013#0,"""關於“膠囊仔”"""
npc_menu_0014#0,"""沒有想問的"""
